Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
AMER AIRLINES,AAL,-1834,6397,1012,1560,,26.97299,,,-.07,,14323,13806,-2180,-1324,-304,9099,26743,5.67,-2731,0,15353,6.95,13.17,.2,3.24,1.58,75,0,119,10,0,25,0,13.29,3.37,5.97,7.23,,11287.54687,43154.18359,,7.6,6.15,6.49,0,,3155.25878,,,,,,,35.55,47.3,56.16,3.08,24.78,1.8,39.43,44.55,74.1,-6.48,-5.26,,,-52.8,6.6,0,1.01,,,,,2.2388,.06528,5.46,2.63,90.91,,.21,2.35,1.94,.07,1.18,.17,2264,NSDQ,
APPLIED OPTOELE,AAOI,-1.4,1.80999,19.6,22.07999,,4.61329,,,-.02,,77.93,39.04999,-1.4,-.28001,3.11999,55.38999,78.42,7.68,63.06999,0,8.92,2.36,93.82,1.5,0,1,100,0,69,1,0,0,0,0,0,12.55,29.54,,36.867,131.27499,,23.66,0,0,0,,89.30139,,,,,,,19.67,14.81,20.72,-4.63,9.96,.21,18.12,27.42,46.74,-14.93,-22.06,,9.09,713.33,1.44,0,0,,,,,-48.93617,.09827,.61,.05,,,0,0,.05,.07,.32,.18,2.43899,NSDQ,
AAON INC,AAON,37.54,0,32.13999,40.13,1.4937,6.9671,7.17959,12.17,.12,3.26,113.62,36.31999,56.29,56.29,69.38999,231.33999,321.14,3.13,164.1,0,0,6.29,22.08,,0,3,0,0,,,0,100,0,,,,,27.29,,,7.35,5.95,,,0,1.27,,13.954,18.17,19.627,24.73,24.73,7.26,,-11.81,-7.75,-2.4,14.27,,19.65,22.96,61.9,-4.98,-14.42,34,31.08,,,.11111,.88,3.6716,1.18,,34,36.80757,,,,,,,,.14,,,,49.047,NSDQ,
APPLE INC,AAPL,37037,5756,1764,20641,.82791,60.06,9.0774,21.64,.22,3.25,73286,43658,50155,50155,56912,106606,170910,20.06,123549,0,16960,4.79,13.96,1.18,2.96,1.58,77.78,0,111,1,0,22.22,0,.78,.27,13.79,15.23,15.53,39304.00781,180288.42187,38.22,9.2,.82,1.14,0,.88,25202.77734,22.704,17.92,34.618,26.85,31.2,40.94,12.9,14.2,19.94,14.44,64.3,1.28,96.13,99.02,91.68,-.93,2.23,2.14,-9.96,11.16,6.97,1.6286,1.96,,.86,-4.95312,2.14,-11.25249,.00703,6.31,5.63,100.3,108.81,1.29,-3.25,1.22,.04,2.32,.05,43794,NSDQ,
ATLAS AIR WORLD,AAWW,93.83,33.84999,0,132.14999,.45149,,13.168,6.07,.06,.47,593.95001,417.14001,117.81999,199.11999,291.89999,410.35,1656.9,52.92,1322.11999,0,1539.13,.61,4.23,,0,2.45,33.33,16.67,129,7,0,50,0,,0,9.47,10.22,8.28,408.70001,1648.11499,10.02,.66,0,0,0,1.78,269.39364,5.0198,2.5,6.59999,3.57,7.39,.76,,-20.39,-22.16,-10.48,30.13,.81,32.03,49.64,9.74,-10.56,-14.9,-27.81,-20.92,-17.11,3.38,0,0,,0,-40.43712,-27.81,-27.77864,.04015,3.13,3.5,128.04,71.39,0,0,.5,.07,1.38,.05,189.55499,NSDQ,
ABAXIS INC,ABAX,14.18,1.62,26.96999,28.82999,.81646,3.2392,5.6085,8.9,.08,5.99,165.41,16.86,21.94,21.94,29.88999,88.76,171.87,8.78,193.91,0,.57999,5.35,47.22,2.99,6.25,3,0,0,26,74,-.2,100,0,-9.09,4.96,42.42,49.87,67.11,49.97299,200.488,10.76,-7.61,0,.68,0,.98,211.01535,8.02159,7.26,9.0677,8.2,8.22,6.89,16.67,13.44,17.41,17.66,32.4,.22,46.98,47.87,94.25,11.64,4.12,-43.68,-48.78,49.52,1.11,0,.21,,.01,-48.34116,-43.68,-48.34245,.09506,.94,.66,104.76,122.22,-5.56,3.13,.19,.04,.23,.07,22.135,NSDQ,
AMERIS BANCORP,ABCB,20.01,41.04999,67.26999,2435.06005,.05785,.13313,.08201,14.63,.12,2.83,2770.28002,3082.73999,29.29999,31.03,37.38,8.39999,172.87,11.92,288.69,28,250.02999,1.82,17.26,,20,1.6,80,0,149,17,-.15,20,0,,1.08,10.87,13.2,19.85,57.83,214.033,2.94,-7.73,0,-2.21,0,1.11,136.1751,.27281,.85,2.2962,6.4,9.92,50.66,,-.95,2.51,7.13,17.69,.44,21.64,24,62.6,2.75,-3.48,32.35,210.34,82.22,1.99,0,.92,,.18,60.80112,32.35,38.66943,.0217,1.64,1,138.28,170.19,-2.06,-3.8,.4,.03,.47,.05,29.96999,NSDQ,
ADVISORY BOARD,ABCO,24.75,163.16999,0,447.89001,.52594,,1.23409,6.47,.05,3.23,506.20001,566.10998,49.88999,49.88999,82.97,272.51998,520.6,9.33,337.04998,0,0,5.11,25.78,3.04,0,1.62,76.92,0,,,0,23.08,0,0,0,43.7,52.92,54.13,147.13699,597.70001,21.52,15.47,0,0,0,-.16,348.67068,4.63119,3.23,15.21399,10.71,10.19,15.39,17.4,-24.61,-25.19,-7.1,47.28,.21,47.63,69.55,1.57,-7.94,-8.81,-18.77,-8.08,-1.1,1.09,0,0,,0,11.68614,-18.77,5.76923,.05555,.9,.87,101.9,93.04,0,0,.19,.06,.22,.11,66.78099,NSDQ,
ALCENTRA CAPITL,ABDC,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2,50,0,142,20,0,50,0,,0,9.37,13.94,,5.91029,16.867,,,0,0,0,,43.55853,,,,,,,,,,,12.89,.34,12.89,15.05,0,-6.53,-14.07,,,,1.38,0,5.52,,,,,,.11251,.93,,,,0,0,.25,.04,.34,0,,NSDQ,
ARCA BIOPHARMA,ABIO,-6.93,0,0,0,,,,,,,16.92,1.5,-6.93,-6.92601,-6.90601,0,,1.03,15.57999,0,0,1.38,,,0,1,100,0,12,34,0,0,0,,-9.28,,,,,,,,0,-2.83,0,2.28,14.9178,-66.26101,-41.49,-76.976,-43.77,-43.77,,,-18.52,-15.48,-2.07,1.31,-.15,1.42,2.26,11.58,-1.39,-11.8,-107.67,55.7,43.32,-.55,0,0,,0,,-107.67,-60.41666,-.10674,-.53,-.94,,23.08,0,0,-.13,,-.16,,-6.91,NSDQ,
ABIOMED INC,ABMD,7.34999,37.99,13.93999,24.35,.97913,2.62639,8.21759,6.4,.04,5.4,117.95999,30.40999,8.52999,8.52999,11.02999,37.31999,183.64,4.23,168.35,0,0,6.07,71.75,3.65,7.95,2.25,50,12.5,27,52,-.19,37.5,0,4.21,0,41.29,82.84,135.16,50.853,209.076,21.93,16.14,0,0,0,1.72,146.47505,-3.0781,3.75,-3.5876,7.57,4.53,,22.67,-8.34,-3.96,23.05,18.64,.08,25.68,30.03,61.81,-2.17,.04,-27.6,-21.62,6.9,.62,0,0,,0,-51.03904,-27.6,-51.03265,.37848,.31,.17,-191.67,255.56,0,0,.02,.43,.09,.36,14.251,NSDQ,
AUTOBYTEL INC,ABTL,38.13999,15.42,0,14.17,1.2308,,6.20179,3.09,.49,.76,37.13,12.90999,3.07999,3.07999,4.94999,47.90999,78.36,7.47,64.81999,0,9.25,1.07,14.44,,0,1,100,0,120,1,0,0,0,,0,16.04,26.3,25.87,30.923,114.19,10.1,17.3,0,0,0,1.13,36.05792,-5.0786,3.88,-6.52181,4.68,5.83,,,-30.65,-46.99,-24.84,5.38,.1,8.02,18.63,19.92,-33.28,-39.61,2279.41,106.67,-1.61,.5,0,0,,0,2502.52221,2279.41,2663.76806,.20865,.31,.28,125,76.92,0,0,.05,.14,.12,.47,4.94999,NSDQ,
ABENGOA YIELD,ABY,,,,,,,,,,,,,,,,,210.9,,,,,,,97.81,,1.75,75,0,222,10,.42,25,0,,,27.48,3614,,,360.17999,,,,,0,,1445.59997,,,,,,,36.95,,,,36.14,-.01,36.14,40.38,0,-9.81,-3.03,,,-98.51,1.32,0,0,,,,,,1.4142,.01,,,,,,-.02,,.3,,,NSDQ,
ACADIA PHARMA,ACAD,-37.94,0,0,0,.00313,,1.84879,-6550.53,-33.14,2692.46,188.36,6.96999,-37.94,-37.94,-36.34001,0,1.14,3.75,182.13,0,0,5.5,,,-9.09,1.5,83.33,0,12,125,.07,16.67,0,,1.9,,,,,.2,-32.58,-76.67,0,-25.5,0,2.72,680.29504,-33.127,-20.5,-65.987,-21.83,-21.83,,,-22.35,-17.49,14.17,17.82,-.18,20.62,30.1,22.8,-1.01,-12.77,-139.25,-15.79,-66.67,-.62,0,0,,0,,-139.25,-82.05374,-.12671,-.73,-.44,,160.61,0,0,-.17,-.09,-.19,-.04,-36.348,NSDQ,
AMER CAP LTD,ACAS,184,0,0,0,.071,,,17.35,.38,9.31,389,0,232,276,169,0,487,18.42,5126,0,791,.83,87.74,3.72,0,2.13,50,12.5,142,26,0,37.5,0,0,0,14.87,21.24,58.54,120.69999,471.39999,-7.12,-24.61,0,0,0,1.33,679.72772,4.2494,1.23,4.2957,1.26,1.43,-1.92,5.71,-7.2,-2.69,-1.62,12.48,.22,15.22,16.28,72.11,-1.93,-2.44,-110.2,-57.5,40.52,1.02,0,0,,12.94,,-110.2,-83.80282,.21844,.72,.83,,137.5,0,0,.2,.15,.23,.11,49,NSDQ,
ARCTIC CAT INC,ACAT,39.4,0,140.64999,43.31999,2.1758,3.788,11.78499,5.12,.05,.6,285.29,148.53999,60.4,60.52,74.69999,579.40997,730.49,14.33,185.03999,0,0,2.44,8.79,.93,0,2.6,40,0,80,12,0,60,0,0,-1.67,12.78,14.85,12.41,249.24099,777.75799,12.84,8.77,0,-1.44,0,2.8,90.29778,7.6152,11.13,13.37899,19.68,19.68,101.6,16,-40.19,-38.56,-11.21,33.47,1.29,35.01,60.74,5.65,-7.77,-12.91,-13.19,.35,-18.69,2.74,.4,1.43,,.21,-.85797,-13.19,-.85557,.03527,2.36,2.92,369.71,76.12,11.72,-13.73,.31,.03,.9,.05,53.58399,NSDQ,
ACETO CORP,ACET,22.31999,74.34999,83.83999,95.38999,1.46689,4.19929,4.99459,5.89,,.97,218.3,89.9,34.54999,36.66999,43.61,401.41,499.69,7.87,194.63999,0,20.35,2.13,14.68,,,,,,,,,,,,,,,16.26,,,12.72,12.44,,,,1.57,,5.49569,8.64,8.1429,12.76,13.78,46.94,,-35.84,-33.03,-27.21,14.38,,16.75,25.01,22.3,-6.42,-7.66,37.98,36.92,,,.23999,1.43,4.526,2.47,,37.98,31.44876,,,,,,,,.2,,,,31.24699,NSDQ,
ATL COAST FINL,ACFC,-11.4,0,0,395.95999,.04733,.03189,.10719,-5.62,-.32,1.93,510.14999,558.09997,-11.4,-2.02,-.35,3.29999,35.16,4.4,65.51999,0,110,.96,,,0,1,100,0,149,1,0,0,0,,0,16.8,42,,6.052,23.75499,-8.76,-19.35,0,0,0,.76,65.13779,-1.5493,-.18,-6.36031,-1.21,-2.35,,,-7.8,-3,-2.1,3.2,.03,4.2,5.02,54.95,2.94,2.94,-32.89,57.68,108.85,.25,0,0,,.07,-30.92754,-32.89,-71.17118,,.1,-1.23,150,-7.89,0,0,.02,,.04,,-2.34401,NSDQ,
ACORN ENERGY IN,ACFN,-29.71,8.15999,4.53999,12.13,.4248,3.0999,3.38459,-102.21,-1.37,2.2,35.95,13.86999,-30.83,-30.95001,-30.95001,16.6,21.76,1.23,31.51,0,0,1.65,,,0,2,50,0,,,0,50,0,,,,,,,,-11.73,12.03,,,0,.7,,-18.004,-43.42,-24.639,-67.29,-67.29,,,-49.43,-50.12,-5.58,1.4,,2.03,8.72,8.61,-7.73,-23.68,-68.49,-22.58,,,.035,0,,.73,,-68.49,-77.79773,,,,,,,,-.28,,,,-21.61701,NSDQ,
ARCH CAP GP LTD,ACGL,709.72998,0,0,4278.18017,.18088,,.77764,16.09,.2,1.94,6190.60009,11981.46972,742.5,769.55999,769.55999,2243.52001,3526.16,47.54,5322.49023,325,1059.31005,1.14,11.75,1.29,0,2.73,18.18,9.09,203,45,0,72.73,0,0,2.68,15.06,14.21,12.67,1026.96704,3987.833,2.06,1.26,5.89,.42,0,.49,729.03472,2.5931,2.97,7.48519,8.22,10.65,2.3,11,-14.27,-8.92,-4.79,52.58,.7,54.365,59.69,25.11,-1.96,-5.67,2.97,72.83,-12.82,3.61,0,0,,0,-7.27311,2.97,19.60598,.04804,3.83,4.21,59.64,87.22,.47,-.32,.99,.23,.94,.09,617.65301,NSDQ,
ACADIA HEALTHCR,ACHC,42.56999,682.10998,0,95.87999,.63393,,7.98979,7.49,.06,3.48,145.11999,114.69,69.23999,106.48999,125.83999,0,713.41,9.81,480.70999,0,601.94,4.81,32.67,1.61,0,1.67,77.78,0,61,5,0,22.22,0,0,5.86,24.01,32.45,32.52,273.12298,997.677,91.19,75.09,-2.6,12.06,0,.83,920.56323,-10.50101,5.62,-19.945,5.31,12.66,,20.2,-3.6,-.36,13.07,34.6,.43,47.16,53.55,66.28,-.23,-.61,132.35,62.12,35.82,1.96,0,0,,0,153.636,132.35,108.67647,.00397,1.45,1.06,73.85,142.78,16.41,14.22,.31,.05,.45,.03,72.92299,NSDQ,
ACHILLION PHARM,ACHN,-58.94,0,0,.47999,,,,,,,124.77999,9.39999,-58.94,-58.89,-56.14,0,2.61,1.43,152.94999,0,.05,4.92,,,-4.94,1.89,55.56,0,12,130,0,44.44,0,,0,,,,,,,955.47,0,2.95,0,2,113.57397,-65.723,-37.38,-96.076,-40,-40.02,,,97.59,112.11,179.36,2.43,-.18,7.04,8.13,80.88,-3.56,-8.33,-27.3,1.56,-22.75,-.96,0,0,,0,,-27.3,-25.0849,-.12688,-.77,-.65,,87.3,0,0,-.18,-.08,-.24,-.43,-56.197,NSDQ,
ACI WORLDWIDE,ACIW,63.86,1098.36999,0,205.83,.57265,,4.49809,8.67,.07,2.19,436.35998,345.6,93.15,120.37,195.72,343.82998,864.93,4.15,543.69,0,708.07,4.52,13.56,1.83,0,3,25,25,34,80,0,50,0,0,-.45,21.96,27.49,25.01,262.23001,1065.13,20.45,29.76,233.33,-4.65,0,1.04,533.62817,5.3659,5.4,9.41059,6.72,17.62,38.96,15,-17.2,-13.42,6.49,15.73,.14,18.76,21.67,51.04,5.45,-3.13,26.49,.48,-2.96,.85,0,0,,0,24.24023,26.49,30.75348,.01843,.68,.6,114.82,79.49,-3.93,-1.59,.02,.21,.57,.09,159.979,NSDQ,
AXCELIS TECH,ACLS,-17.14,0,95.77999,36.58,.95117,1.4555,6.42869,-3.93,-.09,.9,184.89999,35.45999,-16.10001,-15.65,-10.58,127.69,195.63,1.61,176,0,14.52,1.09,,,0,1.33,100,0,103,6,0,0,0,0,-375,43.75,,,40.625,189.57499,5.42,-3.81,-333.33,-69.23,0,2.63,97.30262,-9.54931,-3.74,-11.58501,-4.56,-4.85,,20,-31.34,-28.28,13.64,1.54,-.03,1.75,2.51,21.65,-.57,-15.05,75.54,34.78,36.67,.04,0,0,,0,,75.54,49.63267,-.2233,-.1,-.13,,75,-150,-100,-.07,0,-.01,-1.41,-11.051,NSDQ,
ACORDA THERAPT,ACOR,16.44,17.45,26.17,30.78,.57959,2.4579,12.31599,5.97,.05,3.34,367.32998,96.63999,28.86,31.03,40.59999,66.63999,336.43,10.91,440.35,0,3.22,2.61,43.47,7.69,-30,2.6,20,0,12,157,.46,80,0,-41.18,.54,37.56,76.89,43.77,92.54599,363.212,53.4,10.01,2.44,25.21,0,1.33,296.82598,-1.0444,3.9,-3.2435,4.76,5.9,-12.87,10,-4.03,-2.57,-4.18,27.88,.1,28.45,39.43,4.94,-3.76,-16.27,-86.89,-42.25,-9.76,.76,0,0,,0,-87.47509,-86.89,-89.39013,.23869,.37,.41,40.28,53.7,-25,-14.71,.14,.33,.09,.4,27.01099,NSDQ,
ACTIVE POWER,ACPW,-8.35001,0,12.02,9.06999,1.33539,3.21339,5.51259,-18.56,-.14,1.15,34.54999,16.86,-8.35001,-7.98001,-6.90001,42.29999,61.7,1.21,20.29999,0,0,1.98,,,0,1,100,0,83,4,0,0,0,,0,,,,18.5,62.7,11.49,-19.15,0,0,0,.83,55.3896,-15.14501,-37.22,-27.484,-44.75,-65.73,,,-31.62,-28.57,-11.44,2.36,-.05,2.4,3.84,2.7,-10.45,-13.98,-1189.3,-340,9.09,-.1,0,0,,0,-930.91602,-1189.3,-334.89588,,-.4,-.39,26.32,31.25,0,0,-.12,,-.04,,-7.271,NSDQ,
ACELRX PHARMACT,ACRX,-23.42001,0,0,0,.34538,,,-64.97,-.79,10.43,104.55999,6.86,-23.42001,-21.91,-21.12001,0,29.5,1.51,73.15,0,14.35999,4.57,,,-83.33,1.83,66.67,0,10,12,.83,33.33,0,,2.2,,,,2.45,3.7667,,1132.33,-3.25,-47.13,0,1.84,99.60413,-123.77,-22.44,-112.405,-31.94,-37.72,,,-41.09,-39.08,-30.54,6.39,-.23,6.89,13.03,7.53,-32.58,-40.09,48.04,41.06,-16.48,-1.2,0,0,,0,,48.04,29.79616,-.10626,-1.04,-1.25,,104.55,24.3,4.17,-.25,-.18,-.27,-.31,-34.71,NSDQ,
AMER CAP SNR FL,ACSF,,,,,,,,,,,,,,,,,,15.11,,,,.92,,,0,1.33,100,0,97,3,0,0,0,,0,11.86,12.89,,4.4,17.367,,,0,0,0,,46.39999,,,,,,,,,,2.35,13.25,.29,13.92,14.7,46.21,-.93,-.17,,,,1.17,0,3.3,,,,,,.00925,1.08,,,,0,0,.29,.04,.29,.02,,NSDQ,
ACASTI PHARMA,ACST,-11.11,18.92,.23999,.87,.01627,1.2523,.62542,-1483.92,-22.18,181.98,24.7,1.12,-11.11,-11.11,-9.42001,.27,.5,.3,31.84,0,0,3.06,,,,,,,17,,,,,,41.67,,,,.07999,.69599,,-30.9,0,-9.09,,,98.45166,,-24.15,,-30.6,-30.6,,,,,-6.05,.82,-.03,.93,1.19,29.71,-9.71,-9.45,,-55.56,50,-.12,0,0,,,,,-61.01449,,-.07,-.15,-300,75,0,0,-.03,,-.03,,-9.922,NSDQ,
ACACIA RESEARCH,ACTG,-56.43001,318.57998,0,6.34,.1532,,7.62379,-31.1,-.43,8.95,273.72,26,-80.80001,-80.80001,-26.91,147.5,130.56,10.57,562.19,0,0,1.58,16.9,,0,1.5,75,0,37,4,0,25,0,0,55.56,16.41,,,35.5,141.35,12.84,-47.93,0,25.83,0,.92,417.02478,9.6476,-4.76,11.166,-5.11,-5.11,52.18,20,12.33,14.58,8.96,12.67,.03,16.66,23.22,37.82,11.21,-10.77,-2082.39,-103.86,55.56,1.01,.375,3,,.67,-678.7143,-2082.39,-194.92011,-4.59626,-.04,.23,50,-31.25,20,-42.31,0,4.24,.1,.85,49.205,NSDQ,
ACURA PHARMACT,ACUR,-13.9,0,.25,.18999,.00665,.56565,1.8506,-8553.42,-113.01,125.16,27.45,1.1,-13.9,-13.891,-13.761,.10999,.12,.28,17.92,0,9.6,3.72,,,0,2,50,0,17,21,0,50,0,,,,,,.05,15.201,-59.5,,0,0,0,1.73,20.15091,-28.039,-56.93,-29.97,-60.04,-75.96,,,-40.38,-38.32,-16.26,.99,-.07,1.03,2.04,3.81,-2.83,-6.36,-19.2,-45,100,-.3,0,0,,0,,-19.2,-43.89234,,0,-.3,,100,0,0,-.08,,.22,,-13.771,NSDQ,
ACXIOM CORP,ACXM,8.85999,416.39001,0,178.69999,.88393,,6.48339,6.03,.01,1.29,665.52001,249.46,38.43,50.09999,181.94,828.95001,1097.55,8.94,682.84997,0,289.04,2.06,7.09,,0,1.5,75,0,38,10,0,25,0,,0,19.99,23.58,21.38,,,-1.01,-.17,0,0,0,1.47,708.41033,4.5953,5.33,6.17689,7.21,10.1,6.48,,-52.57,-50.27,-30.99,18.32,.19,18.39,38.9,.34,-5.01,-15.18,-83.81,13.16,-9.3,.92,0,0,,0,,-83.81,-84.61806,0,.78,.82,,114.71,0,0,.17,.04,.2,.03,198.01199,NSDQ,
ADOBE SYSTEMS,ADBE,289.98001,5377.22998,0,599.82,.39824,,7.5871,9.85,.07,8.36,4045.91992,1525.64001,356.14001,423.64001,744.85998,586.54998,4055.24,13.33,6724.62988,0,1499.29003,5.17,45.54,11.28,0,1.64,71.43,0,34,47,0,28.57,0,0,3.42,48.98,105.25,88.38,1014.89898,4153.16601,7.14,-7.91,-6.25,-.65,0,1.25,8578.37695,8.94719,3.92,10.857,5.12,6.03,-7.02,9.33,10.72,15.13,16.69,44.89,.13,68.94,73.57,83.86,-5.3,-6.29,-49.78,-54.35,-22.02,1.41,0,0,,0,-61.84644,-49.78,-65.17887,.07633,.65,.83,55.07,60.32,-1.75,-2.56,.16,.05,.14,.19,756.695,NSDQ,
ADEPT TECH INC,ADEP,-10.02001,2.52999,8.13,10.84,1.88569,3.66729,5.15959,.4,,2.02,25.72999,12.25,-10.34001,-10.27001,-8.9,27.69,46.82,1.58,9.57999,7.76,.28,5.59,,1.74,0,1.67,66.67,0,130,3,0,33.33,0,0,0,,34.82,,17.39999,71.80999,5.46,-29.3,0,,0,2.04,38.37582,-14.42801,.75,-23.16501,1.21,1.78,,20,-48.42,-47.78,-12.33,3.27,.08,8.82,21.45,30.53,-4.65,-19.96,102.2,-186.21,2633.3,,0,0,,0,,102.2,-169.35485,.42209,.25,-.01,,,0,0,.02,,.08,,-6.93201,NSDQ,
ADV EMISSIONS,ADES,-13.07,0,0,11.02,,,,,,1.76,25.29,49.38999,-11.12,-9.66,-4.39,192.55,215.52,,-40.13001,0,2.29999,,,,0,1.2,100,0,151,5,0,0,0,,-9.18,7.31,23.14,,132.69999,478.5,,304.24,,0,0,2.27,236.31375,-15.48201,,-44.238,,,,,-24.48,-19.79,5.48,17.75,.05,21.75,29,35.54,8.64,-9,,-532,674.05,2.97,0,0,,0,,,42.70056,.90269,.94,-.16,,-21.28,-26.19,-68.75,.04,,.31,,-5.5,NSDQ,
ALCOBRA LTD,ADHD,10.53999,0,0,.10999,,,,,,,50.20999,1.62999,10.53999,10.53999,10.548,0,,3.22,48.68,0,0,5.38,,,0,1,100,0,10,23,0,0,0,,0,,,,,,,,0,0,0,.86,236.19284,,-7,,-7.35,-7.35,,,-7.35,-3.78,8.25,10.04,-.62,17.32,25.51,47.06,-3.78,-10.12,-72.4,-420,-138.46,-2.55,0,0,,,,-72.4,767.5111,,-2.48,-.93,,413.33,0,0,-.58,,-.71,,-10.54,NSDQ,
ANALOG DEVICES,ADI,673.47998,312.66,283.32998,325.14001,.41938,3.20849,7.86679,26.81,.26,5.87,5472.41992,570.51,815.32,842.41998,952.83001,941.27001,2633.69,15.78,4739.56982,0,872.23999,3.17,19.98,1.86,0,2,50,0,50,12,0,50,0,0,.38,18.33,21.15,22.03,715.32,2779.79809,3.92,-2.5,0,1.29,0,1.2,872.79949,13.52099,11.24,15.642,12.69,15.01,11.36,11.4,-6.71,-1.81,-2.53,45.69,.63,50.01,55.79,42.77,-2.51,-8.78,11.35,.47,10.49,2.73,1.32,2.96,15.32699,2.82,,11.35,3.41661,.01717,2.36,2.11,,109.8,1.53,.09,.63,.01,.66,.06,777.61602,NSDQ,
ADAMAS PHARMA,ADMS,50.91999,0,0,.11999,,,,,.72,,86,4.21,52.11,52.18999,52.25,0,71.1,5.39,56.61,19.13999,0,2.99,7.67,,0,1.33,100,0,17,15,0,0,0,,0,,13.93,,.18,47.77,,89.74,0,-303.75,0,,134.41586,,,,,,,,,,-16.93,13,-.68,16.09,20.07,43.71,-4.91,-10.46,,,-67.09,-.82,0,0,,,,,187.19683,1.53662,1.15,,,,0,0,2.07,,-.8,,33.12799,NSDQ,
AUDIENCE INC,ADNC,2.06999,0,13.42,5.67,.80627,3.7028,15.25699,-3.29,.01,1.27,163.47999,17.23999,4.13,4.13,7.53999,71.26,160.55,6.97,159.38,0,0,1.15,25.67,,0,2,50,0,135,5,0,50,0,,0,,,,44.993,164.90299,,11.57,0,,0,.83,180.08656,,-2.65,,-3.1,-3.1,,,-21.62,-30.84,-29.26,8.05,-.02,8.05,13.35,0,-20.3,-32.86,-217.26,-79.45,-433.33,0,0,0,,,-159.52335,-217.26,-86.72226,,-.5,.02,11.11,22.22,0,0,-.16,,.01,,6.86499,NSDQ,
AUTOMATIC DATA,ADP,1405.80004,3695.80004,0,1598.30004,.34983,,7.08349,12.43,,3.22,26201,24732.80078,2084.30004,2093.3999,2489.69995,6649.60009,12206.5,13.73,6189.8999,0,14.69999,5.94,21.94,2.43,.69,2.63,26.32,10.53,,,-.02,63.16,0,0,.03,20.96,23.38,25.89,3047.24291,13109.15917,7.41,7.93,0,.71,0,.85,2312.38818,4.05469,4.45,21.714,23.48,23.62,6.04,9.6,-3.66,.92,4.74,70.24,.75,81.54,82.61,91.35,-1.08,1.18,7.82,8.65,11.09,3.89,1.875,2.35,8.73279,2.86,1.1758,7.82,1.24595,.01059,3.49,3.14,118.33,109.63,.35,-.07,.63,.02,.85,.01,1803.09997,NSDQ,
AUTODESK INC,ADSK,228.8,1073,0,423.70001,.51629,,6.7779,11.58,.1,5.29,2835,1071.5,279.89999,279.89999,408.79998,274.29998,2273.9,10.06,2261.5,0,746.40002,5.3,28.83,8.57,8.69,1.62,69.23,0,34,39,0,30.77,0,1.13,0,54.8,76.93,46.38,595.98602,2391.77099,6.84,-1.66,0,-.34,0,1.85,4051.47534,8.4713,5.98,13.897,9.05,12.14,17.66,8.98,1.5,6,13.93,34.27,.17,53.34,57.36,82.59,-4.75,-6.22,-10.04,-11.27,-44.97,.97,0,0,,0,,-10.04,-7.51819,.07943,.69,1.17,,47.14,6.9,0,.17,.04,.16,.05,417.45599,NSDQ,
