Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
VIVUS INC,VVUS,-174.45,0,48.5,12.21,.2671,.33366,8.2753,-111.57,-2.15,4.24,423.94,52,-174.84,-174.84,-162.87,4.86,81.08,1.37,153.36,0,213.1,3.41,,,-7.64,3.44,11.11,44.44,12,180,.24,44.44,0,0,12.72,,,,26.54,97.65299,,3929.92,19.87,10.91,0,1.38,80.41273,-38.905,-29.8,-43.702,-34.29,-80.03,,7.76,-49.18,-48.57,-13.2,4.59,-.26,4.67,14.99,.77,-4.69,-11.72,21.9,-6.34,22.63,-1.13,0,0,,0,,21.9,-24.71404,-.22448,-1.17,-1.95,,50.98,19.38,35.4,-.31,-.28,-.35,-.06,-141.72701,NSDQ,
WESTAMER BANCP,WABC,67.16999,140.22999,0,1796.05004,.04106,,.11159,31.59,.32,6.18,2268.07006,4226.43994,86.12,87.44,105.02999,3.33999,211.41,20.48,542.92999,0,30.56999,2.3,14.77,,0,3.43,0,33.33,158,36,0,66.67,0,,-1.27,19.97,20.23,19.68,,207.71,-9.94,-12.06,0,-4.07,0,1.09,618.63262,1.60179,1.3,13.97099,10.97,11.69,-6.16,,-18.91,-16.7,-5.75,46.53,.58,47.03,57.21,4.68,-4.04,-11.11,-13.98,-14.68,-7,2.36,1.49,3.23,1.54159,2.99,-15.73786,-13.98,-17.19676,.0152,2.33,2.54,100,92.06,-1.68,-2.52,.59,.02,.58,.04,84.76699,NSDQ,
WASH FEDL INC,WAFD,151.5,264.30999,0,7873.18994,.03921,,.06926,28.76,.28,3.78,8076.75,9172.78027,234.61,302.85998,318.63,67.9,538.22,19.65,1937.63,0,1930,1.05,12.8,1.81,0,2.4,30,0,205,23,0,70,0,0,.96,12.82,13.55,13.44,114.02999,437.09698,-8.33,-11.3,.3,-.27,0,1.34,232.94642,.76352,1.13,2.41589,4.1,8.13,64.84,7.5,-13.84,-11.16,-1.43,19.83,.38,20.69,24.13,20.09,-4.26,-7.72,10.81,12.4,5.29,1.61,.34,2.13,18.472,1.62,12.10533,10.81,9.6396,.00327,1.53,1.38,,105.86,.56,.88,.37,.02,.39,.02,167.27499,NSDQ,
WASH TR BANCORP,WASH,36.15,63.59999,11.63,2434.98999,.05749,.76175,.07584,21.3,.2,3.14,2531.94995,2505.32006,52.68,64.81999,70.18,12.42,178.43,20.2,329.64001,0,310.94,1.7,13.11,,0,3,0,0,186,47,0,100,0,,-1.26,13.5,14.6,14.91,,,1.76,-4.21,0,0,0,.97,571.95245,.97448,1.22,3.7913,6.34,11.78,19.13,,-11.52,-7.85,1.63,30.01,.59,34.3,38.28,51.87,0,-7.85,13.16,6.57,3.52,2.54,1.02999,3.38,7.1219,3.93,11.66573,13.16,3.07956,,2.35,2.19,101.72,100,-1.59,-1.67,.6,,.62,,43.41299,NSDQ,
WEBMD HEALTH CP,WBMD,15.10999,216.80999,0,124.23,.39963,,4.64419,4.82,.03,3.52,975.96997,160.38999,28.75,51.56999,78.16999,209.74,515.29,3.88,190.89999,0,952.22998,12.56,43.6,4.46,28.42,1.67,66.67,0,114,12,0,33.33,0,0,1.16,42.06,55.79,85.47,144.56399,577.66198,3.08,9.67,0,.14,0,.59,314.60128,2.3784,1.93,3.0058,2.22,8.22,-23.88,12.5,20.77,23.34,18.77,28.33,.22,48.72,52.06,85.92,-2.01,-6.18,262.5,285.71,123.93,1.16,0,0,,0,,262.5,174.2871,.05732,.87,.3,,440,2.76,.76,.19,.06,.31,.14,45.5,NSDQ,
WESTERN DIGITAL,WDC,980,2559,1188,1793,1.0231,8.54759,8.28159,13.11,,1.56,7598,3973,1222,1277,2510,10988,15130,37.11,7893,0,1725,2.7,7.12,2.39,7.69,1.5,83.33,5.56,53,7,0,11.11,0,4.07,.11,11.28,12.03,12.38,3873.54809,15298.43066,17.72,-1.44,.68,2.32,0,1.4,1684.10156,14.94299,12.88,21.75499,19.52,22.77,25.88,5.03,13.98,19.55,19.99,60.72,2.04,100.3,101.23,97.7,.7,3.89,-2.65,-5.04,2.91,8.9,1.25,1.6,,.66,-13.76885,-2.65,-39.20596,.03701,8.34,7.99,110.42,96.35,-1.78,-1.37,1.74,.03,2.22,.04,3331,NSDQ,
WD 40 CO,WDFC,39.81,119.51999,32.43,56.86999,1.1516,5.27659,6.3551,10.65,.11,2.64,192.13999,117.63999,56.86,57.54999,62.9,179.38,368.55,11.75,179.5,0,0,5.69,22.67,2.42,0,2.5,25,0,195,3,0,75,0,0,-.27,22.13,24.2,25.41,98.10399,383.44799,5.36,7.52,0,.25,0,.76,250.28236,12.42599,12.26,18.92799,22.42,22.42,8.78,10,-14.42,-10.5,-6.61,57.35,.66,66.84,78.3,45.3,-4.7,-12.59,-.74,15.45,8.76,3.02,1.22,2.03,6.79069,2.53,1.75381,-.74,12.20406,.0108,2.76,2.46,95.65,124.53,.63,4.76,.72,.04,.8,0,45.16299,NSDQ,
WENDYS CO/THE,WEN,45.47999,2148.32006,10.22,62.88,.56112,174.96099,37.83,5.52,.02,1.23,922.40997,349.51998,59.04999,128.05999,330.76,1839.73999,2487.41,4.71,1929.47998,0,1425.28002,1.72,9.84,1.87,-4.96,2.95,15.38,15.38,156,49,0,69.23,0,-1.21,0,20.9,22.97,23.79,512.73101,2058.96801,-8.99,-.71,0,0,0,1.05,329.72326,1.6911,3.1,2.18779,4.07,7.05,8.84,12.28,-10.52,-7.22,-2.53,7.08,.09,8.09,10.19,32.48,-2.24,-5.38,1356.76,87.5,17.41,.39,.18,2.47,34.65499,1.88,,1356.76,542.37286,.01892,.35,.29,,112.5,0,0,.09,.12,.1,.09,321.915,NSDQ,
WERNER ENTRPRS,WERN,86.77999,0,15.73999,242.41,1.5095,65.15,8.01389,4.04,.04,.86,349.66,167.72999,141.71,142.16,315.17001,1007.84002,2029.18,10.9,772.51,0,40,2.25,6.84,1.37,.52,2.81,16.67,8.33,140,23,0,75,0,-5.07,-.39,16.06,19.28,21.49,543.15698,2130.17309,4.53,-.35,1.24,-.84,0,.6,176.9145,6.81949,6.1,11.609,10.24,10.81,8.83,14.05,-4.84,-.93,-2.55,22.95,.36,24.5,26.95,38.67,-6.2,-7.96,-11.7,-15.71,7.71,1.53,.2,.82,0,.88,-15.79759,-11.7,-15.77211,.03285,1.27,1.17,102.22,123.37,-.6,0,.35,.06,.37,.07,259.79501,NSDQ,
WISDOMTREE INV,WETF,51.52999,0,0,18.1,1.2617,,10.093,37.7,.34,8.61,123.73,29.04999,51.52999,51.52999,51.95999,0,149.47,1.02,109.01999,0,0,10.71,27.31,1.39,0,1.31,87.5,0,163,4,0,12.5,0,0,2.67,26.03,28.49,24.93,46.865,181.60899,57.14,76.26,4.55,-3.12,0,1.81,365.48202,-8.662,47.56,-19.608,59.74,59.74,312.35,20.45,-44.54,-38.06,2.91,9.45,.09,10.97,18.29,17.19,.83,-14.5,141.77,236.36,4.05,.42,0,0,,0,315.8197,141.77,367.18041,.2404,.38,.37,110,80,4.55,4.76,.08,.34,.09,.3,51.96699,NSDQ,
WESTFIELD FINL,WFD,6.75,0,0,634.15997,.03537,,.07133,14.15,.15,3.11,653.90997,865.59997,8.61999,13.38,19.95,5.51999,45.3,7.63,154.13999,0,248.36999,.94,11.13,,0,3,0,0,205,33,0,100,0,,-3.54,15.84,19.76,21.76,8.84,35.345,-4.76,-7.72,0,.74,0,.82,46.72265,.4395,.5,1.20739,1.58,4.14,20.74,,-7.34,-3.75,1.7,6.53,.08,7.18,7.89,47.79,.98,-5.03,1.16,30.77,6.86,.45,.23999,3.34,3.57159,2.98,16.23661,1.16,8,.11123,.36,.31,119.05,104.17,-3.13,-13.79,.09,.07,.1,.15,13.326,NSDQ,
WHOLE FOODS MKT,WFM,551,744,414,188,2.41199,20.60499,69.45099,4.14,.04,1,1980,1088,894,894,1233,8288,12917,10.85,3878,0,26,3.49,15.85,1.75,-8.99,2.2,45.45,4.55,226,5,.18,50,0,-4.06,.27,22.15,24.65,24.75,3267.92602,14218.53125,12.85,10.41,0,-1.15,9.09,.62,869.76959,8.08259,10,11.34,14.25,14.58,32.47,14.06,-36.71,-34.53,-2.9,36.46,.32,37.86,65.24,4.86,1.42,-3.32,5.39,16.67,4.46,1.71,.4,1.27,59.318,.49,8.77524,5.39,18.24034,.00627,1.54,1.46,78.25,100.26,-2.27,-5.46,.39,.02,.45,.04,890,NSDQ,
