Company Name,Ticker,% Ratio of Q1/Q0,% Change Q1 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Previous EPS Surprise (%),Last EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,% Change Q2 Est. (4 weeks),% Change Q0 Est. (4 weeks),F1 Consensus Est.,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Last Reported Fiscal Yr ,12 Mo Trailing EPS,% Rating Strong Buy or Buy,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Beta,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Relative Price Change,Avg Volume,Market Cap ,Last Close,Average Target Price,% Rating Downgrades ,Earnings ESP (Expected Surprise Prediction),Current Avg Broker Rec,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Upgrades ,Shares Outstanding ,Debt/Total Capital,Inventory ,Receivables ,Current Liabilities ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Intangibles,Current Assets ,Q(1) Consensus Sales Est. (Mil.),Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Long Term Debt ,Preferred Equity,Sales Growth F(0)/F(-1),Common Equity,F(1) Consensus Sales Est. (Mil.),Book Value,Div. Yield %,Annual Sales,Current ROE (TTM),Price/Sales,Price/Book,Price/Cash Flow,P/E (F2),PEG Ratio,P/E (F1),P/E (Trailing 12 Months),5 Yr Historical Sales Growth,St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),Cost of Goods Sold,EBITDA ,EBIT ,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,Market Value/# Analysts,ROA (5 Yr Avg),% Ratio of Q1/prior Yr Q1 Actual Q(-3),Exchange,# of Analysts in Q0 Consensus,
NORTHERN TRUST,NTRS,99.79,1.19,1.43,2,7.18,-3.85,3.57,-1.04,.87,.87,20140601,3,2.71,-.54,3.36,11.97,4.9,5.35,10.9,-.45,.84,.87,.03,.87,.03,3.01,20131231,3.13,13.33,67.88,52.41,88.69,1.04,-1.14,3.6,10.92,6.85,2.74,1263431.75,15638.49,66.13,66.54,0,0,3.05,20,3.85,199,16,0,0,0,66.67,0,236.48,29.881,0,30462.5996,87539.10156,.04335,,.14268,17.09,.17,1.23,3.20129,2.31,540.70001,66465.20312,1090.04602,.43,.74,.76,.41127,3982.8999,0,11.5,7912,4340.36376,34.01,2,4344.2,9.54,3.53,1.94,14.41,17.26,1.81,19.69,21.13,2.29,.01393,3.83,6.52,6.31599,.74,103.3,1557.80004,1194.59997,7.48982,5.35,6.40186,1096.906,731.29998,1075.5,1303.20739,.80993,114.23,NSDQ,11,
NETSOL TECH INC,NTWK,,0,0,,,0,-93.75,-65.1,-.31001,-.31,20140301,.95,0,0,.46,165.71,143.59,-112.46,,-9.25,-.09,.03,,.09,,-.7,20140630,-.26,100,11.17,3.24,5.11,1.66,4.44,-9.78,-15.03,-37.48,-39.23,51732.55,33.36,3.645,4.95,0,,2,0,0,32,63,0,0,0,0,0,9.15,2.065,0,14.68,11.86999,.41119,,2.6875,-5.46,,0,,0,39.09999,42.06999,12.68,,2.35,,,1.40999,0,27.71,89.41999,58.61999,9.55,0,50.8,-2.66,.79,.38,2.4,,,7.92,,12.38,,,-2.61,3.86459,-2.24,22.95,18.90999,13.21,,-112.46,222.13114,13.56299,7.86,12.55,33.35539,3.03539,8.57,NSDQ,1,
NUANCE COMM INC,NUAN,,0,0,0,-6.67,12.5,55.56,26.66,.14,.14,20140301,.85,0,0,.57,-32.47,-49.7,-208.71,11.67,1.88,.13,.2,.15,.16,0,.84,20130930,.63,20,19.97,13.1,70.01,1.25,-1.49,-1.65,17.83,17.83,12.91,1957470.63,5680.3,17.91,17.4,0,,2.6,0,1.38,32,75,0,0,0,80,0,317.16,44.89599,0,382.73999,805.22998,.31536,,4.88009,10.35,-.06,0,,0,4246.47021,1409.52001,540.807,,1.66,1.75,1.27513,2108.09008,0,12.34,2638.01,2019.61596,8.19,0,1855.28,7.44,3.01,2.19,11.63,27.3,2.67,31.2,28.43,18.17,.08227,.66,4.07,8.44989,3.26,766.54998,249.72999,41.08,,-208.71,-155.63173,478.00601,-115.23001,-96.68001,1136.05981,6.90409,91.82,NSDQ,5,
NUVASIVE INC,NUVA,113.89,-2.38,6.81,7.43,1.01,46.15,-14.29,48.58,.11999,.12,20140601,.8,11.11,0,.68,-15,17.65,-47.15,12.82,11.83,.14,.14,.08,.17,.03,.72,20131231,.84,53.33,39.39,23.13,76.45,1.14,-4.87,.4,7.21,9.99,5.48,461021.06,1657.06,35.56,41.92,0,-7.14,1.93,0,6.1,22,47,-.07,0,0,46.67,0,46.6,35.98899,136.92999,104.76999,117.15,.6069,1.2409,6.3687,5.67,.01,0,,0,248.92999,536,179.05,.56,3.69,3.41,2.51216,346.05999,0,10.47,604.86999,746.95001,13.48,0,685.17,6.83,2.28,2.64,13.7,36.91,4.08,52.29,42.33,15.6,.0147,.96,4.33,3.8264,3.44,180.47999,115.37,36.93,-437.89887,-47.15,151.59234,115.855,7.9,9.76,552.35345,3.10389,48.81,NSDQ,3,
NOVAVAX INC,NVAX,75,0,0,13.92,,0,-33.33,-20.83,-.08,-.08,20140601,-.31,0,0,-.25,19.35,-34.78,-61.1,,,-.06,-.06,,-.06,,-.31,20131231,-.31,100,6.65,2.32,46.65,1.2,0,-3.98,3.7,-15.23,-20.22,2823905.25,1016.89,4.34,9.67,0,,1,0,0,12,35,0,0,0,0,0,234.31,.54655,0,6.88999,18.93,.12387,,3.88339,-227.34,-2.49,0,,0,75.76,145,11.5,,9.4,7.66,7.29582,1.19,0,-5.26,203.22999,39.65,.91,0,20.92,-29.97,34.74,4.75,,,,,,225.41,-.10584,-.34,-32.53,-49.43601,-26.17,8.22,-48.70001,-51.79001,-79.02016,-61.1,-82.38597,-48.89301,-51.98,-51.95001,338.96414,-40.044,66.67,NSDQ,1,
NVIDIA CORP,NVDA,94.25,.53,.25,-.17,0,47.06,31.58,30.77,.25,.25,20140701,.79,0,.3,.93,17.27,-13.19,-4.89,11.1,37.86,.19,.24,.09,.25,.15,.67,20140131,.96,36,19.61,14.37,88.36,1.74,8.57,-.03,5.56,18.6,5.5,7524904,10601.35,19,20.1,0,3.7,2.53,16,0,184,6,0,0,0,48,0,557.97,24.878,387.76,426.35,945.48999,.67382,5.00069,10.135,11.91,.11,.31,,.7,939.19,5624.70996,1163.40197,,5.87,5.54,5.08794,1373.86999,0,-3.5,4456.39013,4542.59814,7.48,1.79,4130.16,12.94,2.41,2.54,15.15,18.65,1.85,20.51,19.79,7.64,.07912,1.02,10.24,10.75599,8.45,1862.39001,764.42999,520.69,-14.03042,-4.89,-21.78374,712.81298,439.98999,510.25,623.60906,8.13399,117.82,NSDQ,17,
NOVADAQ TEC INC,NVDQ,85.42,-28.13,-13.22,-207.69,0,-60,-14.29,-31.07,-.08,-.08,20140601,-.15,-29.03,0,-.28,-87.62,-50,-3.14,30,,-.07,-.07,-.22,-.07,-.32,-.12,20131231,-.24,80,23.61,13.28,6.2,.41,-9.26,-16.04,-13,-15.58,-18.41,357176.19,768.22,13.92,18.41,0,0,1.8,10,0,23,45,0,0,0,10,0,55.19,0,3.83999,8.5,9,.23508,3.7806,5.0268,-28.02,-.64,0,,,3.29999,195.71,12.14599,0,23.18,21.32,20.37444,0,0,52.33,175.11,48.73699,2.92,0,35.02,-1.44,18.69,4.76,,,,,,40.48,-.14129,-.2,-8.6,-45.126,-1.14,12.93,-18.42001,-22.12001,-236.88759,-3.14,-80.71312,-3.587,-22.3,-22.3,109.74528,-11.339,341.67,NSDQ,6,
NVE CORP,NVEC,90.36,10.29,19.92,,0,-20.9,43.1,7.63,.82999,.83,20140601,2.29,14.06,0,3.13,36.68,-5.76,14.41,25,-1.33,.58,.75,,.73,,2.43,20140331,2.59,100,68.39,49.26,100,.45,3.07,28.02,32.9,17.35,12.42,19171.3,331.76,68.39,75,0,0,1,0,0,60,9,0,0,0,0,0,4.85,0,3.2,2.32999,1.17999,.26969,1.8715,10.324,44.69,.43,0,,0,0,20.20999,8.1,0,7.36,14.42,12.44067,0,0,-4.06,103.69999,32.79999,22.23,0,25.93,12.29,11.76,3.08,27.67,20.17,.87,21.85,26.41,-1.58,,3.39,12.29,17.22599,12.05,5.71999,17.35,16.51,-5.85849,14.41,-5.83757,11.97599,11.13,16.51,331.75988,16.774,113.64,NSDQ,1,
NV5 HOLDING INC,NVEE,,0,0,,0,,-7.14,,.12999,.13,20140301,.7,0,0,.82,17.14,34.62,32.33,20,,.19,.28,,.21,,.73,20131231,.61,100,10.43,7,74.34,-.97,-3.54,-3.44,0,17.32,14.16,814.6,54.48,9.55,12,0,,1,0,0,,,0,0,0,0,0,5.7,11.47099,0,16.71999,11.98999,1.6725,,3.9697,4.06,.04,0,,,10.09,32.09999,27,,2.09,2.68,1.28273,2.5,0,12.64,28.79999,95.48999,5.53,0,68.23,11.52,.76,1.73,12.27,,.58,11.65,15.66,,,,10.23,,6.79,33.40999,5.4,3.89,,32.33,113.17829,4.269,2.75,3.63,54.48274,,155.56,NSDQ,1,
NOVA MEASURING,NVMI,45,-47.06,-15.19,,,21.05,11.11,16.16,.2,.2,20140601,.44,-33.33,0,.67,52.27,-2.22,64.78,,1.06,.18,.09,,.14,,.42,20131231,.64,100,12.08,8.51,61.06,2.79,5.53,-7.12,2,8.64,3.48,113539.4,294.86,10.69,14,0,0,1,0,0,8,3,0,0,0,0,0,27.58,0,18.11,27.94,30.45999,.7458,3.262,5.0857,14.53,.09,0,,0,0,149.05999,27.7,,5.49,4.3,3.38181,0,0,15.95,128.66,126,5.17,0,111.51,13.46,2.39,2.07,18.69,12.01,,15.96,16.7,22.53,,.89,13.46,20.83799,10.83,52.43,16.54,13.02,26.39735,64.78,-11.08291,15.57199,10.51,13.02,294.86227,15.578,112.5,NSDQ,1,
NOVATEL WIRELES,NVTL,,,,,,-28.57,0,-4.02,-.35,-.35,20140601,-.72,,,,,33.94,17.33,,,-.22,,,,,-.68,20131231,-.82,50,4.07,1.52,16.86,2.38,3.72,2.09,19.63,-17.72,-24.04,106762.2,66.92,1.95,2.28,0,0,3,50,0,,,0,0,0,0,0,34.32,0,27.79,39.97999,54.7,2.3642,8.6708,7.5717,-7.98,-.13,0,,0,2.13,95.62,70.72,,1.74,1.24,.50914,0,0,-2.68,44.90999,229.74,1.06,0,335.05,-57.06,.27,1.84,,,,,,1.24,,,-43.77,-19.129,-23.73,266.75,-34.39,-43.33001,28.43699,17.33,51.36679,-16.154,-43.41,-43.33001,,-10.589,,NSDQ,2,
