Company Name,Ticker,% Ratio of Q1/Q0,% Change Q1 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Previous EPS Surprise (%),Last EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,% Change Q2 Est. (4 weeks),% Change Q0 Est. (4 weeks),F1 Consensus Est.,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Last Reported Fiscal Yr ,12 Mo Trailing EPS,% Rating Strong Buy or Buy,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Beta,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Relative Price Change,Avg Volume,Market Cap ,Last Close,Average Target Price,% Rating Downgrades ,Earnings ESP (Expected Surprise Prediction),Current Avg Broker Rec,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Upgrades ,Shares Outstanding ,Debt/Total Capital,Inventory ,Receivables ,Current Liabilities ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Intangibles,Current Assets ,Q(1) Consensus Sales Est. (Mil.),Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Long Term Debt ,Preferred Equity,Sales Growth F(0)/F(-1),Common Equity,F(1) Consensus Sales Est. (Mil.),Book Value,Div. Yield %,Annual Sales,Current ROE (TTM),Price/Sales,Price/Book,Price/Cash Flow,P/E (F2),PEG Ratio,P/E (F1),P/E (Trailing 12 Months),5 Yr Historical Sales Growth,St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),Cost of Goods Sold,EBITDA ,EBIT ,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,Market Value/# Analysts,ROA (5 Yr Avg),% Ratio of Q1/prior Yr Q1 Actual Q(-3),Exchange,# of Analysts in Q0 Consensus,
AMER AIRLINES,AAL,90.91,2.35,3.59,6.01,13.29,8,2.06,,1.98,1.98,20140601,11.56,.96,6.41,5.46,-52.8,,,35.55,,1.94,1.8,.07,1.18,.17,2.63,20131231,,75,44.55,24.78,62.72,,-4.3,-13.17,-2.64,47.25,41.3,10251549,26776.89,37.18,50.38,0,1.11,1.58,0,3.24,114,10,0,0,0,25,0,720.2,78.819,1012,1560,13806,,26.97299,,,-.07,0,,,6397,14323,11287.54687,3.72,.99,.96,.85115,15353,0,7.6,-2731,43154.18359,5.67,1.08,26743,,,6.55,12.42,5.63,.19,6.81,,,.06528,6.6,,,,9099,-304,-1324,,,2.2388,2264,-1834,-2180,2975.20971,,,NSDQ,9,
APPLIED OPTOELE,AAOI,,-3.13,-1.09,0,0,,-160,,.02999,.03,20140301,-.1,0,0,.61,706.67,9.09,,19.67,,.05,.21,.03,.32,.18,.05,20131231,,100,27.42,9.96,47.19,,1.11,-19.79,.28,21.25,22.85,205022.66,269.09,18.2,28,0,,1,0,0,60,1,0,0,0,0,0,14.78,3.3903,19.6,22.07999,39.04999,,4.61329,,,-.02,0,,,1.80999,77.93,36.867,,2.87,1.49,.92829,8.92,0,23.66,63.06999,130.94999,7.68,0,78.42,,,2.37,94.24,12.61,1.53,30,,,.09935,1.44,,,,55.38999,3.11999,-.28001,,,-48.93617,2.43899,-1.4,-1.4,89.69567,,,NSDQ,3,
AAON INC,AAON,,,,,,,7.69,,.2,.2,20140601,.65,,,,,31.08,20.18,,7.26,.14,,,,,,20131231,.7,0,22.96,15.33,51.49,1.27,-1.83,-11.16,-3.31,-9.58,-14.07,156618.42,1057.93,19.26,,0,,3,0,0,,,0,0,0,100,0,54.93,0,32.13999,40.13,36.31999,1.4937,6.86689,7.17959,12.17,.12,.11111,3.6716,1.18,0,113.62,,,2.86,2.24,1.13849,0,0,5.95,164.1,,3.13,.9,321.14,23.36,3.19,6.16,21.65,,,,27.51,7.35,,,24.73,19.627,17.43,231.33999,69.38999,56.29,33.9984,20.18,36.80757,49.047,37.54,56.29,,13.954,,NSDQ,1,
APPLE INC,AAPL,100.3,-3.25,.27,1.14,.78,13.81,4.92,6.71,1.27999,1.28,20140601,5.68,1.29,.82,6.31,11.16,-9.96,2.14,12.9,40.94,1.22,1.28,.04,2.32,.05,5.63,20130930,6.19,77.78,99.02,64.3,87.67,.88,-.9,-.31,12.63,18.21,14.11,48884456,571282.19,94.74,106.83,0,-.78,1.58,0,2.96,138,1,.02,0,0,22.22,0,6030,19.357,1764,20641,43658,.82791,60.06,9.0774,21.64,.22,1.6286,,.86,5756,73286,39304.00781,.24,1.47,1.64,1.16544,16960,0,9.2,123549,180288.42187,20.06,1.98,170910,31.2,3.21,4.72,13.76,13.59,1.16,15.01,15.3,38.22,.00703,6.97,26.85,34.618,17.92,106606,56912,50155,-4.95312,2.14,-11.25249,43794,37037,50155,24838.35546,22.704,108.81,NSDQ,20,
ATLAS AIR WORLD,AAWW,126.98,-.83,1.06,0,,246.15,26,73.33,.62999,.63,20140601,3.78,-7.23,0,3.17,-16.22,-20.92,-27.81,,-1.48,.5,.8,.07,1.28,.07,3.5,20131231,3.87,33.33,49.64,30.13,15.02,1.78,-3.39,-5.03,-9.4,-19.66,-23.93,296974.75,834.17,33.06,35.4,0,0,2.45,16.67,0,78,7,0,0,0,50,0,25.23,58.06499,0,132.14999,417.14001,.44106,,12.272,5.68,.06,0,,0,33.84999,593.95001,439,1.38,1.12,1.42,1.10706,1539.13,0,.66,1322.11999,1772.56994,53.72,0,1656.9,7.39,.48,.62,4.37,9.77,,10.44,8.54,10.67,.04558,3.38,3.23,6.43149,2.5,410.35,291.89999,199.11999,-40.43712,-27.81,-27.77864,189.55499,93.83,117.81999,278.05667,4.8941,70.8,NSDQ,3,
ABAXIS INC,ABAX,104.76,3.13,4.96,.68,-9.09,-15,10.53,-12.71,.20999,.21,20140601,.63,-5.56,0,.94,49.52,-48.78,-43.68,16.67,6.89,.19,.22,.04,.23,.07,.66,20140331,.7,0,47.87,32.4,85.2,.98,-3.86,4.88,5,13.92,10.19,226196.5,1023.64,45.58,44.17,0,0,3,0,6.25,22,69,-.2,0,0,100,0,22.46,.27827,26.96999,28.82999,16.86,.81646,3.2392,5.6085,8.9,.08,0,,.01,1.62,165.41,49.97299,0,7.46,8.21,6.50118,.57999,0,-7.61,193.91,200.488,8.78,.22,171.87,8.22,5.81,5.19,45.81,41.16,2.9,48.39,65.11,10.76,.09506,1.11,8.2,9.0677,7.26,88.76,29.88999,21.94,-48.34116,-43.68,-48.34245,22.135,14.18,21.94,204.72714,8.02159,122.22,NSDQ,4,
AMERIS BANCORP,ABCB,138.28,-3.8,1.08,-2.21,,-3.03,-20,-16.38,.31999,.32,20140601,.9,-2.06,0,1.64,82.22,210.34,32.35,,50.66,.4,.44,.03,.47,.05,1,20131231,1.09,80,24,17.69,66.09,1.12,.09,1.58,9.9,3.55,-.91,70944.85,550.24,21.86,26.8,0,2.27,1.6,0,20,148,16,0,0,0,20,0,25.17,27.76099,67.26999,2435.06005,3082.73999,.05785,.13313,.08201,14.63,.12,0,,.18,41.04999,2770.28002,57.83,,.88,.88,.08691,250.02999,28,-7.73,288.69,214.033,11.92,.91,172.87,9.92,2.86,1.83,17.44,10.98,,13.33,20.06,2.94,.0217,1.99,6.4,2.2962,.85,8.39999,37.38,31.03,60.80112,32.35,38.66943,29.96999,20.01,29.29999,137.5595,.27281,170.19,NSDQ,4,
ADVISORY BOARD,ABCO,99.05,-2.8,1.11,1.83,0,13.04,10.53,1.35,.20999,.21,20140601,.91,-1.79,0,.91,0,-8.08,-18.77,17.4,14.67,.19,.21,.05,.22,.09,.87,20140331,.88,76.92,69.55,46.89,9.4,-.16,-2.23,-3.6,-2.27,-23.01,-25.71,244461.5,1794.23,49.02,64.2,0,-4.76,1.62,0,0,,,0,0,0,23.08,0,36.6,.02965,0,447.89001,566.10998,.53039,,1.24409,6.1,.05,0,,0,163.16999,506.20001,146.68099,,.89,.89,.103,0,0,15.47,337.04998,598.289,9.33,0,520.6,10.19,3.33,5.26,26.53,44.16,3.1,53.87,55.7,21.78,.03885,1.11,10.19,14.963,3.23,272.51998,82.97,49.88999,11.68614,-18.77,5.76923,66.78099,24.75,49.88999,358.846,4.56139,90.43,NSDQ,5,
ALCENTRA CAPITL,ABDC,,0,0,0,,,,,,,,,0,0,.93,,,,,,.25,.34,.04,.34,0,,20131231,,50,15.05,12.57,3.63,,-3.73,-9.57,-15.15,,,89211,171.13,12.66,15.25,0,,2,0,11.11,142,20,0,0,0,50,0,13.52,0,,,,,,,,,0,,,,,5.8203,,.32,,,,,,,16.624,,5.62,,,,,,9.21,,13.69,,,.11251,1.38,,,,,,,,,,,,,42.7813,,,NSDQ,4,
ARCA BIOPHARMA,ABIO,,0,-9.28,-2.83,,,-8.33,,-.13,-.13,20140301,-1.94,0,0,-.53,43.32,55.7,-107.67,,,-.13,-.15,,-.16,,-.94,20131231,-1.46,100,2.26,1.31,7.37,2.28,-3.49,-7.38,-.72,-17.86,-19.34,134952.95,29,1.38,3.38,0,,1,0,0,12,35,0,0,0,0,0,21.01,0,0,0,1.5,,,,,,0,,0,0,16.92,,,19.46,11.28,11.27999,0,0,,15.57999,,1.03,0,,-43.77,,1.34,,,,,,,-.10674,-.55,-43.77,-76.976,-41.49,0,-6.90601,-6.92601,,-107.67,-60.41666,-6.91,-6.93,-6.93,14.49759,-66.26101,23.08,NSDQ,1,
ABIOMED INC,ABMD,-40,-79.13,-58.07,-24.44,0,0,-300,-31.25,-.04,-.04,20140601,.29,-50.71,0,.13,-55.17,-21.62,-27.6,22.67,,.02,.02,.34,.05,.66,.17,20140331,.19,50,30.03,18.64,58.74,1.72,-1.05,1.44,19.48,-5.27,-7.98,263875.06,1011.35,25.33,29.9,0,0,2.25,12.5,7.95,23,50,0,0,0,37.5,0,39.93,0,13.93999,24.35,30.40999,.96587,2.62639,8.3266,3.88,.04,0,,0,37.99,117.95999,49.817,0,4.39,3.42,2.61986,0,0,16.14,168.35,207.893,4.27,0,183.64,4.53,5.33,5.94,70.77,53.89,8.6,194.85,133.32,22.01,.60569,.47,4.53,-3.18161,3.75,37.31999,11.02999,8.52999,-51.03904,-27.6,-51.03265,14.251,7.34999,8.52999,144.47868,-2.73671,53.33,NSDQ,6,
AUTOBYTEL INC,ABTL,106.25,-15,-9.84,-5,,33.33,60,38.51,.07999,.08,20140601,.31,-33.33,0,.28,-11.29,106.67,2279.41,,64.54,.05,.09,.08,.08,0,.28,20131231,.31,100,18.63,5.89,17.82,1.13,-25.55,-34.51,-30.55,-46.07,-46.13,182728.59,73.37,8.16,16.5,0,-11.11,1,0,0,122,1,0,0,0,0,0,8.99,21.957,0,14.17,12.90999,1.1085,,6.1858,3.26,.49,0,,0,15.42,37.13,26.559,.28,2.71,2.88,1.77846,9.25,0,17.3,64.81999,105.82499,7.56,0,78.36,5.45,.77,1.08,14.69,17.18,,29.67,26.32,12.52,.02571,.47,4.36,-5.97791,3.62,47.90999,4.94999,3.07999,2502.52221,2279.41,2663.76806,4.94999,38.13999,3.07999,36.68735,-4.6439,65.38,NSDQ,2,
ABENGOA YIELD,ABY,,,,-21.73,0,,,,-.17001,-.17,20140301,.67,,0,.01,-98.51,,,36.95,,-.02,-.01,,.3,,,20131231,,75,40.38,34.52,16.55,,-1.91,-5.16,,,,468860,2839.2,35.49,46,0,,1.75,0,,225,10,0,0,0,25,0,80,,,,,,,,,,0,,,,,,,,,,,,,,360.17999,,0,210.9,,,,,26.99,96.05,3549,,,1.4142,1.32,,,,,,,,,,,,,1419.60009,,,NSDQ,1,
ACADIA PHARMA,ACAD,83.33,-3.77,-2.12,-29.53,,-46.15,-29.41,-18.89,-.22,-.22,20140601,-.44,-8.11,0,-.76,-73.48,-15.79,-154.21,,,-.17,-.18,-.14,-.2,-.14,-.44,20131231,-.66,83.33,30.1,17.82,27.28,2.72,4.44,-1.26,7.46,-15.29,-18.89,983349.38,2095.32,21.17,34.67,0,0,1.5,0,-5,12,132,.07,0,0,16.67,0,98.98,0,0,0,6.96999,.00313,,1.84879,-6550.53,-33.14,0,,0,0,188.36,,0,38.46,27.02,27.02439,0,0,-76.67,182.13,.2,3.75,0,1.14,-23.02,6254.69,5.65,,,,,,-32.58,-.15353,-.64,-21.83,-65.987,-22.14,0,-36.34001,-37.94,-139.24546,-154.21,-82.05374,-36.348,-37.94,-37.94,698.44061,-33.127,152.78,NSDQ,3,
AMER CAP LTD,ACAS,240,-1.82,-5.12,-1.47,0,-90.91,-55,-79,.09,.09,20140601,.51,-1.75,-.83,.68,33.33,-57.5,-85.57,5.71,-1.92,.2,.22,.14,.22,.1,.83,20131231,.19,50,16.28,12.48,70.53,1.33,0,-2.76,2.09,-3.07,-5.43,2269459,4062.29,15.16,17.33,0,-10.53,2.13,12.5,0,142,26,0,0,0,37.5,0,267.96,13.463,0,0,0,.071,,,17.35,.38,0,,12.94,0,389,116.19999,,,,,791,0,-24.61,5126,433.39999,18.42,0,487,1.02,9.96,.82,87.4,15.04,3.9,22.29,79.79,-7.12,.1491,1.01,1.26,4.2957,.86,0,169,276,-110.19956,-85.57,-83.80282,49,184,232,677.04815,4.2494,-360,NSDQ,6,
ARCTIC CAT INC,ACAT,369.71,-13.73,-1.67,-1.44,0,-33.33,12.9,-15.66,.34999,.35,20140601,2.9,11.72,0,2.36,-18.69,.35,-13.19,16,101.6,.31,1.29,.03,.9,.05,2.92,20140331,2.82,40,60.74,33.47,10.71,2.8,2.22,-2.31,7.19,-36.14,-39.8,197441.16,469.29,36.39,42.5,0,0,2.6,0,0,77,12,0,0,0,60,0,12.9,0,140.64999,43.31999,148.53999,2.1758,3.788,11.78499,5.12,.05,.4,,.21,0,285.29,249.24099,,1.92,.97,.6821,0,0,8.77,185.03999,777.75799,14.33,1.37,730.49,19.68,.62,2.54,9.13,13.28,.96,15.43,12.9,12.84,.03527,2.74,19.68,13.37899,11.13,579.40997,74.69999,60.52,-.85797,-13.19,-.85557,53.58399,39.4,60.4,93.85708,7.6152,76.12,NSDQ,5,
ACETO CORP,ACET,,,,,,,,,.18999,.19,20140301,.89,,,,,36.92,37.98,,46.94,.2,,,,,,20140630,1.03,,25.01,14.38,35.56,1.57,8.35,5.4,3.95,-27.39,-30.72,151381.91,521.74,18.16,,,,,,,,,,,,,,28.73,5.47919,83.83999,95.38999,89.9,1.46689,4.19929,4.99459,5.89,,.23999,4.526,2.47,74.34999,218.3,,,2.47,,,20.35,0,12.44,194.63999,,7.87,1.32,499.69,13.78,1.06,2.31,15.92,,,,17.63,12.72,,,12.76,8.1429,8.64,401.41,43.61,36.66999,,37.98,31.44876,31.24699,22.31999,34.54999,,5.49569,,NSDQ,1,
ATL COAST FINL,ACFC,150,0,0,0,,150,0,,.01999,.02,20140601,-1.13,0,0,.1,108.85,57.68,-32.89,,,.02,.03,,.04,,-1.23,20131231,-.47,100,4.67,3.2,63.27,.76,-.96,.98,.49,-4.62,-8.12,32408.9,64.05,4.13,5,0,,1,0,0,148,1,0,0,0,0,0,15.51,61.728,0,395.95999,558.09997,.04687,.03189,.08319,-3.81,-.32,0,,.07,0,510.14999,6.17,,.92,.91,.2046,110,0,-19.35,65.51999,24.11,4.4,0,35.16,-2.35,1.9,.94,,16.52,,41.3,,-9.29,,.25,-.78,-6.0813,-.18,3.29999,-.35,-2.02,-30.92754,-32.89,-71.17118,-2.34401,-11.4,-11.4,64.05216,-1.48081,-7.89,NSDQ,1,
ACORN ENERGY IN,ACFN,,,,,,-34.78,-17.86,-32.48,-.19,-.19,20140301,-1.14,,,,,-22.58,-68.49,,,-.28,,,,,,20131231,-1.07,50,7.81,1.4,10.45,.7,-3.72,-15.51,23.95,-49.14,-51.72,130426.6,45.93,2.07,5,0,,2,0,0,,,0,0,0,50,0,22.19,0,4.53999,12.13,13.86999,.4248,3.0999,3.38459,-102.21,-1.37,.035,,.73,8.15999,35.95,,,2.37,2.26,1.39005,0,0,12.03,31.51,,1.23,0,21.76,-67.29,2.24,1.68,,,,,,-11.73,,,-67.29,-24.639,-43.42,16.6,-30.95001,-30.95001,,-68.49,-77.79773,-21.61701,-29.71,-30.83,,-18.004,,NSDQ,1,
ARCH CAP GP LTD,ACGL,58.8,-1.71,4.81,.89,0,15.38,18.18,9.93,1.16999,1.17,20140601,4.39,-.59,4.22,3.92,-10.66,72.83,2.97,11,3.62,.99,.69,.19,.94,.09,4.21,20131231,4.29,18.18,59.69,52.58,28.41,.49,2.15,-4.16,-3.02,-8.53,-12.21,440456.16,7321.86,54.6,58.71,0,2.9,2.73,9.09,0,206,44,0,0,0,72.73,0,134.1,20.482,0,4278.18017,11981.46972,.18738,,.82182,15.84,.2,0,,0,0,6190.60009,1006.82501,,.65,.52,.15961,1059.31005,325,1.26,5322.49023,3971.35791,47.54,0,3526.16,10.65,1.94,1.15,11.81,15.05,1.27,13.92,12.73,1.87,.04164,3.63,8.31,7.52659,2.97,2243.52001,769.55999,769.55999,-7.27311,2.97,19.60598,617.65301,709.72998,742.5,732.18603,2.61179,86,NSDQ,10,
ACADIA HEALTHCR,ACHC,72.66,-2.56,-.15,-5.85,0,0,87.1,24.55,.57999,.58,20140601,1.07,-3.1,-.11,1.46,36.72,62.12,132.35,20.2,,.31,.42,.03,.44,.02,1.06,20131231,1.45,77.78,53.55,37.26,63.17,.83,-.23,5.39,10.61,.46,-3.35,485658.34,2784.53,47.55,56.88,0,2.38,1.67,0,0,57,5,0,0,0,22.22,0,58.56,38.305,0,95.87999,114.69,.60391,,7.85449,9.31,.06,0,,0,682.10998,145.11999,286.285,.62,4.38,1.27,.42933,601.94,0,75.09,480.70999,994.94201,15.29,0,713.41,12.66,3.5,3.11,32.94,24.68,1.61,32.5,32.79,84.39,.0076,1.93,6.27,-17.92901,5.62,0,125.83999,106.48999,153.636,132.35,108.67647,72.92299,42.56999,69.23999,397.78973,-9.26071,140.48,NSDQ,6,
ACHILLION PHARM,ACHN,114.58,0,0,2.95,,0,11.11,12.48,-.16,-.16,20140601,-.63,0,0,-.77,-22.75,1.56,-1.51,,,-.18,-.18,-.08,-.24,-.43,-.65,20131231,-.61,55.56,8.13,2.43,86.49,2,7.45,4.69,173.1,121.75,104.15,2905050,712.42,7.36,9.78,0,,1.89,0,0,12,131,0,0,0,44.44,0,96.8,0,0,.47999,9.39999,,,,,,0,,0,0,124.77999,,,14.97,13.27,13.2234,.05,0,955.47,152.94999,,1.43,0,2.61,-40.02,,5.15,,,,,,,-.12688,-.96,-40,-96.076,-37.38,0,-56.14,-58.89,-27.29669,-1.51,-25.0849,-56.197,-58.94,-58.94,118.73642,-65.723,130.95,NSDQ,6,
ACI WORLDWIDE,ACIW,116.67,0,12.32,5.21,33.33,-233.33,500,71.57,.11999,.12,20140601,.7,-23.03,233.33,.77,9.48,.48,26.49,20,35.15,.02,.14,.19,.46,.28,.6,20131231,.75,25,21.67,16.13,44.79,1.04,-.69,.65,4.71,-14.11,-17.67,702768.75,2117.45,18.61,21.5,0,0,3,25,0,32,80,0,0,0,50,0,113.78,57.977,0,205.83,345.6,.59556,,4.71659,9.06,.07,0,,0,1098.36999,436.35998,258.73599,1.38,1.16,1.26,.66704,708.07,0,29.76,543.69,1066.92297,4.42,0,864.93,17.62,2.18,4.21,13.45,19.75,1.21,24.17,24.81,22.5,.06789,.94,7.27,9.3036,5.4,343.82998,195.72,120.37,24.24023,26.49,30.75348,159.979,63.86,93.15,529.36145,5.3674,80.77,NSDQ,3,
AXCELIS TECH,ACLS,83.33,-66.67,-42.11,-87.5,0,-100,14.29,-29.76,-.06,-.06,20140601,-.15,-400,0,-.14,10,34.78,70.35,20,,-.07,-.05,0,-.03,-.28,-.13,20131231,-.09,100,2.51,1.54,21.65,2.63,0,-1.69,12.18,-28.28,-32.16,356863.84,194.61,1.75,2.83,0,0,1.33,0,0,95,6,0,0,0,0,0,111.2,7.4057,95.77999,36.58,35.45999,.95117,1.4555,6.42869,-3.93,-.09,0,,0,0,184.89999,40.09999,,5.54,2.51,1.48166,14.52,0,-3.81,176,186.11,1.61,0,195.63,-6.12,.93,1.09,,350,,,,5.42,-.05238,0,-4.56,-11.58501,-4.65,127.69,-10.58,-15.65,75.53871,70.35,49.63267,-11.051,-17.14,-16.10001,97.30262,-9.54931,125,NSDQ,2,
ACORDA THERAPT,ACOR,18.06,-61.77,-38.86,-12.81,-41.18,100,71.43,58.69,.23999,.24,20140601,.41,-80.56,2.44,.22,-45.12,-42.25,-86.89,10,-9.68,.14,.04,.58,.02,.49,.41,20131231,.65,20,39.43,27.88,20.87,1.33,3.48,-3.26,0,3.73,-2.08,456480.06,1264.09,30.29,39.67,0,0,2.6,0,-21.33,12,158,0,0,0,80,0,41.73,36.20299,26.17,30.78,96.63999,.51678,2.4579,12.67899,7.55,.05,0,,0,17.45,367.32998,94.44899,.57,8.5,3.53,3.21171,3.22,0,10.01,440.35,367.70401,11.99,0,336.43,5.9,3.56,2.53,46.29,57.42,13.46,134.62,46.6,46.24,.41135,.53,5.09,-2.827,3.9,66.63999,40.59999,31.03,-87.47509,-86.89,-89.39013,27.01099,16.44,28.86,316.02316,-.797,24.07,NSDQ,3,
ACTIVE POWER,ACPW,110.53,-320,-92.5,-370,,-58.33,-58.33,-40.82,-.19,-.19,20140601,-.44,-350,0,-.77,-75,-340,-1189.3,,,-.12,-.21,,-.18,,-.39,20131231,-.75,100,3.71,2.28,0,.82,-5,-15.87,-13.96,-32.14,-33.74,63229.7,52.62,2.28,3.5,0,0,1,0,0,81,4,0,0,0,0,0,23.08,0,12.02,9.06999,16.86,1.1532,2.8324,5.31899,-32.28,-.14,0,,0,0,34.54999,10.5,0,2.35,1.34,.79833,0,0,-19.15,20.29999,44.09999,1.21,0,61.7,-66.1,1.09,1.88,,,,,,7.66,,-.47,-65.73,-29.396,-37.77,42.29999,-6.90001,-7.98001,-930.91602,-1189.3,-334.89588,-7.271,-8.35001,-8.35001,52.62012,-16.24901,131.25,NSDQ,1,
ACELRX PHARMACT,ACRX,,4.17,2.2,-47.13,,344.44,0,84.94,-.22,-.22,20140301,-.89,24.3,-3.25,-1.04,-16.48,41.06,48.04,,,-.25,-.23,-.18,-.27,-.31,-1.25,20131231,-.47,66.67,13.03,6.32,2.24,1.83,-7.04,-36.94,-26.31,-42.79,-45.91,2071075,280.6,6.47,13.83,0,13.04,1.83,0,-83.33,10,85,.83,0,0,33.33,0,43.37,18.215,0,0,6.86,.34538,,,-64.97,-.79,0,,0,0,104.55999,2.45,,20.43,15.24,15.24198,14.35999,0,1132.33,73.15,3.7667,1.51,0,29.5,-37.72,9.79,4.29,,,,,,,-.10626,-1.2,-31.94,-112.405,-22.44,0,-21.12001,-21.91,,48.04,29.79616,-34.71,-23.42001,-23.42001,93.53247,-123.77,104.55,NSDQ,3,
AMER CAP SNR FL,ACSF,101.15,0,-.31,-1.7,,-17.39,0,,.28999,.29,20140601,,-1.14,0,1.08,,,,,,.29,.29,.04,.29,.03,,20131231,,100,14.7,13.25,51.03,,1.38,-.14,4.79,,,32387.7,139.9,13.99,15.58,0,0,1.33,0,0,102,3,0,0,0,0,0,10,46.879,,,,,,,,,0,,,,,4.55,,2.44,,,,,,,17.533,15.11,3.29,,,,.93,,12.13,,12.99,,,.00536,1.15,,,,,,,,,,,,,46.63333,,,NSDQ,3,
ACASTI PHARMA,ACST,-300,0,41.67,-9.09,,33.33,133.33,,.00999,.01,20140501,-.14,0,0,-.07,50,-55.56,,,,-.03,-.03,,-.03,,-.15,20140228,-.1,,1.19,.82,32.68,,-5.81,-11.23,6.33,,,328850.59,73.37,.941,,,,,,,17,,,,,,,77.97,0,.23999,.87,1.12,.01627,1.2523,.62542,-1483.92,-22.18,0,,,18.92,24.7,.07999,0,12.99,21.84,21.0625,0,0,-30.9,31.84,.69599,.3,0,.5,-30.6,135.62,3.1,,,,,,,,-.12,-30.6,,-24.15,.27,-9.42001,-11.11,,,-61.01449,-9.922,-11.11,-11.11,73.36788,,75,NSDQ,1,
ACACIA RESEARCH,ACTG,50,-42.31,55.56,25.83,0,-428.57,-2200,-757.14,.05,.05,20140601,-.09,20,0,-.04,55.56,-103.86,-2082.39,20,52.18,0,.03,4.24,.1,.85,.23,20131231,-.61,75,23.22,12.67,42.94,.92,.82,11.33,12.13,18.29,13.57,669013.13,861.08,17.2,23.38,0,0,1.5,0,0,39,4,0,0,0,25,0,50.06,0,0,6.34,26,.1532,,7.62379,-31.1,-.43,.375,,.67,318.57998,273.72,35.5,,7.15,10.53,10.28384,0,0,-47.93,562.19,141.35,10.57,2.91,130.56,-5.11,9.24,1.63,17.45,16.95,,,,12.84,-4.59626,1.01,-5.11,11.166,-4.76,147.5,-26.91,-80.80001,-678.7143,-2082.39,-194.92011,49.205,-56.43001,-80.80001,430.5418,9.6476,-31.25,NSDQ,3,
ACURA PHARMACT,ACUR,100,0,,3.33,,,12.5,,-.07001,-.07,20140601,-.29,0,0,0,100,-45,-14.18,,,-.08,-.07,,.22,,-.3,20131231,-.29,50,2.03,.86,3.25,1.73,-13.56,-17.37,-20.44,-46.17,-48.41,92315.8,17.59,.899,1.75,0,,2,0,0,17,21,0,0,0,50,0,19.56,41.562,.25,.18999,1.1,.00665,.6729,1.8506,-8553.42,-113.01,0,,0,0,27.45,.05,.89,7.9,24.73,24.55454,9.6,0,,17.92,15.19999,.28,0,.12,-91.14,90.2,3.24,,,,,,-59.5,,-.29,-60.04,-29.97,-58.56,.10999,-13.761,-13.891,-19.19848,-14.18,-43.89234,-13.771,-13.9,-13.9,17.58803,-28.039,100,NSDQ,1,
ACXIOM CORP,ACXM,183.33,-15.39,-1.92,0,,23.08,-47.06,2.54,.09,.09,20140601,.86,12.19,0,.76,-11.05,13.16,-119.94,,6.48,.17,.17,.13,.23,.06,.82,20140331,.78,75,38.9,17.77,1.09,1.47,-1.75,-13.09,-16.05,-51.33,-53.49,806156.44,1386.77,18,27.5,0,0,1.5,0,0,37,10,0,0,0,25,0,77.04,29.73999,0,178.69999,249.46,.88393,,6.48339,6.03,.01,0,,0,416.39001,665.52001,,.41,2.84,2.67,1.95149,289.04,0,-.17,682.84997,,8.94,0,1097.55,9,1.29,2.01,6.94,19.57,,23.53,23.08,-1.01,.02772,.92,7.21,6.17689,4.74,828.95001,181.94,50.09999,-83.80579,-119.94,-84.61806,198.01199,8.85999,38.43,693.38696,4.5953,82.5,NSDQ,2,
