Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
AMER AIRLINES,AAL,,6.85,,,,,,,3108.84619,26743,9099,-304,12.97,.2,5.88,90.91,-52.8,,,35.55,,7.6,,43154.18359,11287.54687,,-1324,-2180,0,13806,15353,14323,6397,1012,1560,78.819,3.72,.99,.96,5.67,,26.97299,-1834,2264,2.2388,,,,,0,-.07,,,.85115,10,53.86,-6.66,-7.85,,71.17,38.85,1.58,75,0,119,24.78,1.57,47.3,1.94,44.55,27979.62,2.06,7.12,3.24,3.37,1.03,11403745,720.2,0,25,.21,2.35,6.49,13.29,1.8,.07,1.18,.17,2.63,5.46,.06528,6.15,,20131231,0,0,-2731,50.38,8,,1.98,1.98,20140601,11.56,6.6,NSDQ,
APPLIED OPTOELE,AAOI,,2.35,,,,,,,88.70999,78.42,55.38999,3.11999,93.2,1.49,12.47,,713.33,9.09,,19.67,,23.66,,131.27499,36.867,,-.28001,-1.4,0,39.04999,8.92,77.93,1.80999,19.6,22.07999,3.3903,,2.87,1.49,7.68,,4.61329,-1.4,2.43899,-48.93617,,,,,0,-.02,,,.92829,1,19.92,-22.58,-15.49,,46.05,18,1,100,0,69,9.96,-5.26,14.81,.05,27.42,266.13,-160,29.35,0,0,0,195037.95,14.78,0,0,0,0,0,0,.21,.07,.32,.18,.05,.61,.09827,0,,20131231,0,0,63.06999,28,,,.02999,.03,20140301,-.1,1.44,NSDQ,
AAON INC,AAON,,6.26,3.26,24.73,24.73,19.627,18.17,13.954,,321.14,231.33999,69.38999,22.05,,,,,31.08,34,,7.26,5.95,7.35,,,27.25,56.29,56.29,0,36.31999,0,113.62,0,32.13999,40.13,0,,3.3,2.24,3.13,1.4937,6.9671,37.54,49.047,36.80757,34,,1.18,3.6716,.11111,.12,12.17,7.17959,1.13849,,-7.89,-14.55,-5.13,1.27,61.55,19.62,3,0,0,,14.27,-2.55,-11.81,.14,22.96,1077.7,7.69,,0,,.88,145867.33,54.93,0,100,,,,,,,,,,,,,.72,20131231,0,0,164.1,,,,.17333,.17,20140301,.65,,NSDQ,
APPLE INC,AAPL,108.81,4.77,3.24,31.2,26.85,34.618,17.92,22.704,25063.82617,170910,106606,56912,13.88,1.17,13.71,100.3,11.16,-9.96,2.14,12.9,40.94,9.2,38.22,180288.42187,39304.00781,15.44,50155,50155,0,43658,16960,73286,5756,1764,20641,19.357,.24,1.47,1.64,20.06,.82791,60.06,37037,43794,-11.25249,2.14,-4.95312,.86,,1.6286,.22,21.64,9.0774,1.16544,1,19.28,1.67,-1.47,.88,90.15,95.6,1.58,77.78,0,111,64.3,13.81,14.2,1.22,99.02,576468,4.92,15.15,2.96,.27,1.97,47291464,6030,0,22.22,1.29,-3.25,1.14,.78,1.28,.04,2.32,.05,5.63,6.31,.00703,.82,6.19,20130930,0,0,123549,106.83,13.81,6.71,1.27999,1.28,20140601,5.68,6.97,NSDQ,
ATLAS AIR WORLD,AAWW,71.39,.64,.5,7.39,3.57,6.59999,2.5,5.0198,287.81301,1656.9,410.35,291.89999,4.52,,10.11,128.04,-17.11,-20.92,-27.81,,.76,.66,10.02,1648.11499,408.70001,8.84,199.11999,117.81999,0,417.14001,1539.13,593.95001,33.84999,0,132.14999,59.214,1.38,1.12,1.42,52.92,.45149,,93.83,189.55499,-27.77864,-27.81,-40.43712,0,,0,.06,6.07,13.168,1.10706,7,-16.84,-9.09,-4.44,1.78,20.96,34.22,2.45,33.33,16.67,129,30.13,-4.36,-20.39,.5,49.64,863.44,26,10.92,0,0,0,228176.16,25.23,0,50,0,0,0,,.81,.07,1.38,.05,3.5,3.13,.04015,0,3.87,20131231,0,0,1322.11999,35.4,246.15,73.33,.62999,.63,20140601,3.78,3.38,NSDQ,
ABAXIS INC,ABAX,122.22,5.4,6.04,8.22,8.2,9.0677,7.26,8.02159,212.9468,171.87,88.76,29.88999,47.65,3.02,42.81,104.76,49.52,-48.78,-43.68,16.67,6.89,-7.61,10.76,200.488,49.97299,67.73,21.94,21.94,0,16.86,.57999,165.41,1.62,26.96999,28.82999,.27827,0,7.46,8.21,8.78,.81646,3.2392,14.18,22.135,-48.34245,-43.68,-48.34116,.01,,0,.08,8.9,5.6085,6.50118,74,18.49,5.08,12.67,.98,97.03,47.41,3,0,0,26,32.4,18.73,13.44,.19,47.87,1064.73,10.53,50.33,6.25,4.96,.21,222542.16,22.46,-.2,100,-5.56,3.13,.68,-9.09,.22,.04,.23,.07,.66,.94,.09506,0,.7,20140331,0,0,193.91,44.17,-15,-12.71,.20999,.21,20140601,.63,1.11,NSDQ,
AMERIS BANCORP,ABCB,170.19,1.83,2.86,9.92,6.4,2.2962,.85,.27281,137.43374,172.87,8.39999,37.38,17.42,,10.98,138.28,82.22,210.34,32.35,,50.66,-7.73,2.94,214.033,57.83,20.04,31.03,29.29999,28,3082.73999,250.02999,2770.28002,41.04999,67.26999,2435.06005,27.76099,,.88,.88,11.92,.05785,.13313,20.01,29.96999,38.66943,32.35,60.80112,.18,,0,.12,14.63,.08201,.08691,17,3.46,-2.59,3.7,1.11,65.77,21.84,1.6,80,0,149,17.69,8.12,-.95,.4,24,549.73,-20,13.32,20,1.08,.92,58092.9,25.17,-.15,20,-2.06,-3.8,-2.21,,.44,.03,.47,.05,1,1.64,.0217,0,1.09,20131231,0,0,288.69,26.8,-3.03,-16.38,.31999,.32,20140601,.9,1.99,NSDQ,
ADVISORY BOARD,ABCO,93.04,5.38,3.4,10.19,10.71,15.21399,3.23,4.63119,367.04479,520.6,272.51998,82.97,27.14,3.2,46,101.9,-1.1,-8.08,-18.77,17.4,15.39,15.47,21.52,597.70001,147.13699,56.98,49.88999,49.88999,0,566.10998,0,506.20001,163.16999,0,447.89001,.02965,,.89,.89,9.33,.52594,,24.75,66.78099,5.76923,-18.77,11.68614,0,,0,.05,6.47,1.23409,.103,,-21.25,-4,-3.09,-.16,12.84,50.14,1.62,76.92,0,,47.28,-2.2,-24.61,.19,69.55,1835.22,10.53,55.71,0,0,0,188857.5,36.6,0,23.08,0,0,0,0,.21,.06,.22,.11,.87,.9,.05555,0,.88,20140331,0,0,337.04998,66.2,13.04,1.35,.20999,.21,20140601,.91,1.09,NSDQ,
ALCENTRA CAPITL,ABDC,,,,,,,,,44.43724,,,,,,9.56,,,,,,,,,16.867,5.91029,,,,,,,,,,,0,,.32,,,,,,,,,,,,0,,,,,20,,-12.33,-4.64,,0,13.15,2,50,0,142,13.15,,,.25,15.05,177.75,,14.22,11.11,0,5.41,85516.2,13.52,0,50,0,0,0,,.34,.04,.34,0,,.93,.11251,0,,20131231,0,0,,15.25,,,,,,,1.38,NSDQ,
ARCA BIOPHARMA,ABIO,23.08,1.39,,-43.77,-43.77,-76.976,-41.49,-66.26101,15.022,,0,-6.90601,,,,,43.32,55.7,-107.67,,,,,,,,-6.92601,-6.93,0,1.5,0,16.92,0,0,0,0,,19.46,11.28,1.03,,,-6.93,-6.91,-60.41666,-107.67,,0,,0,,,,11.27999,34,-14.89,-11.19,-.7,2.28,12.62,1.4299,1,100,0,12,1.31,-1.39,-18.52,-.13,2.26,30.04,-8.33,,0,-9.28,0,165146.7,21.01,0,0,0,0,-2.83,,-.15,,-.16,,-.94,-.53,-.10674,0,-1.46,20131231,0,0,15.57999,3.38,,,-.13,-.13,20140301,-1.94,-.55,NSDQ,
ABIOMED INC,ABMD,255.56,6,5.39,4.53,7.57,-3.5876,3.75,-3.0781,146.0187,183.64,37.31999,11.02999,71.53,3.64,41.16,-191.67,6.9,-21.62,-27.6,22.67,,16.14,21.93,209.076,50.853,134.74,8.52999,8.52999,0,30.40999,0,117.95999,37.99,13.93999,24.35,0,,4.39,3.42,4.23,.97913,2.62639,7.34999,14.251,-51.03265,-27.6,-51.03904,0,,0,.04,6.4,8.21759,2.61986,52,-4.26,-.27,-2.48,1.72,61.11,25.6,2.25,50,12.5,27,18.64,22.66,-8.34,.02,30.03,1022.13,-300,82.58,7.95,0,0,285251.44,39.93,-.19,37.5,0,0,0,4.21,.08,.43,.09,.36,.17,.31,.37848,0,.19,20140331,0,0,168.35,29.9,0,-31.25,-.04,-.04,20140601,.29,.62,NSDQ,
AUTOBYTEL INC,ABTL,76.92,1.47,1.04,5.83,4.68,-6.52181,3.88,-5.0786,49.276,78.36,47.90999,4.94999,19.73,,21.92,125,-1.61,106.67,2279.41,,,17.3,10.1,114.19,30.923,35.35,3.07999,3.07999,0,12.90999,9.25,37.13,15.42,0,14.17,22.809,,2.76,2.88,7.47,1.2308,,38.13999,4.94999,2663.76806,2279.41,2502.52221,0,,0,.49,3.09,6.20179,1.77846,1,-27.56,-17.47,-8.82,1.13,42.11,10.96,1,100,0,120,5.38,2.72,-30.65,.05,18.63,98.55,60,35.93,0,0,0,100238.35,8.99,0,0,0,0,0,,.1,.14,.12,.47,.28,.31,.20865,0,.31,20131231,0,0,64.81999,21,33.33,38.51,.07999,.08,20140601,.31,.5,NSDQ,
ABENGOA YIELD,ABY,,,,,,,,,1447.19995,210.9,,,,97.92,27.51,,-98.51,,,36.95,,,,360.17999,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,10,,-2.92,-9.71,,0,36.18,1.75,75,0,222,36.18,,,-.02,40.38,2894.4,,3618,,,0,500339.19,80,.42,25,,,,,-.01,,.3,,,.01,1.4142,,,20131231,0,0,,46,,,-.17001,-.17,20140301,.67,1.32,NSDQ,
ACADIA PHARMA,ACAD,160.61,5.49,2646.76,-21.83,-21.83,-65.987,-20.5,-33.127,668.74798,1.14,0,-36.34001,,,,,-66.67,-15.79,-139.25,,,-76.67,-32.58,.2,,,-37.94,-37.94,0,6.96999,0,188.36,0,0,0,0,,46.43,27.02,3.75,.00313,,-37.94,-36.348,-82.05374,-139.25,,0,,0,-33.14,-6550.53,1.84879,27.02439,125,-18.89,-14.26,-2.69,2.72,19.95,20.27,1.5,83.33,0,12,17.82,12.24,-22.35,-.17,30.1,2006.24,-46.15,,-9.09,1.9,0,1020042.63,98.98,.07,16.67,0,0,-25.5,,-.18,-.09,-.19,-.04,-.44,-.73,-.12671,0,-.55,20131231,0,0,182.13,32.86,0,-17.09,-.19,-.19,20140301,-.44,-.62,NSDQ,
AMER CAP LTD,ACAS,137.5,.82,9.27,1.43,1.26,4.2957,1.23,4.2494,677.04815,487,0,169,87.39,3.7,14.81,,40.52,-57.5,-110.2,5.71,-1.92,-24.61,-7.12,471.39999,120.69999,58.31,276,232,0,0,791,389,0,0,0,13.463,,,,18.42,.071,,184,49,-83.80282,-110.2,,12.94,,0,.38,17.35,,,26,-3.07,-2.82,-2.32,1.33,70.53,15.16,2.13,50,12.5,142,12.48,-2,-7.2,.2,16.28,4062.29,-90.91,21.15,0,0,0,2054175.63,267.96,0,37.5,0,0,0,0,.22,.15,.23,.11,.83,.72,.21844,0,.26,20131231,0,0,5126,17.33,-44,-74.25,.01999,.02,20140301,.51,1.02,NSDQ,
ARCTIC CAT INC,ACAT,76.12,2.48,.61,19.68,19.68,13.37899,11.13,7.6152,91.81959,730.49,579.40997,74.69999,8.93,.94,12.99,369.71,-18.69,.35,-13.19,16,101.6,8.77,12.84,777.75799,249.24099,12.62,60.52,60.4,0,148.53999,0,285.29,0,140.64999,43.31999,0,,1.92,.97,14.33,2.1758,3.788,39.4,53.58399,-.85557,-13.19,-.85797,.21,,.4,.05,5.12,11.78499,.6821,12,-37.52,-11.44,-6.22,2.8,7.81,35.6,2.6,40,0,80,33.47,-9.71,-40.19,.31,60.74,459.1,12.9,15.1,0,-1.67,1.4,201722.66,12.9,0,60,11.72,-13.73,-1.44,0,1.29,.03,.9,.05,2.92,2.36,.03527,0,2.82,20140331,0,0,185.03999,42.5,-33.33,-15.66,.34999,.35,20140601,2.9,2.74,NSDQ,
ACETO CORP,ACET,,2.13,.98,13.78,12.76,8.1429,8.64,5.49569,,499.69,401.41,43.61,14.69,,,,,36.92,37.98,,46.94,12.44,12.72,,,16.27,36.66999,34.54999,0,89.9,20.35,218.3,74.34999,83.83999,95.38999,5.47919,,2.47,,7.87,1.46689,4.19929,22.31999,31.24699,31.44876,37.98,,2.47,4.526,.23999,,5.89,4.99459,,,-32.99,-7.61,-6.37,1.57,22.39,16.76,,,,,14.38,-27.16,-35.84,.2,25.01,481.52,,,,,1.43,163580.25,28.73,,,,,,,,,,,,,,,1.03,20140630,,,194.63999,,,,.18999,.19,20140301,.89,,NSDQ,
ATL COAST FINL,ACFC,-7.89,.95,1.92,-2.35,-1.21,-6.36031,-.18,-1.5493,64.67299,35.16,3.29999,-.35,,,16.68,150,108.85,57.68,-32.89,,,-19.35,-8.76,23.75499,6.052,,-2.02,-11.4,0,558.09997,110,510.14999,0,0,395.95999,61.728,,.92,.91,4.4,.04733,.03189,-11.4,-2.34401,-71.17118,-32.89,-30.92754,.07,,0,-.32,-5.62,.10719,.2046,1,-3.7,2.21,2.21,.76,53.3,4.17,1,100,0,149,3.2,-2.8,-7.8,.02,5.02,64.67,0,41.7,0,0,0,31229.95,15.51,0,0,0,0,0,,.03,,.04,,-1.23,.1,,0,-.47,20131231,0,0,65.51999,5,150,,.01999,.02,20140601,-1.13,.25,NSDQ,
ACORN ENERGY IN,ACFN,,1.74,2.33,-67.29,-67.29,-24.639,-43.42,-18.004,,21.76,16.6,-30.95001,,,,,,-22.58,-68.49,,,12.03,-11.73,,,,-30.95001,-30.83,0,13.86999,0,35.95,8.15999,4.53999,12.13,0,,2.37,2.26,1.23,.4248,3.0999,-29.71,-21.61701,-77.79773,-68.49,,.73,,.035,-1.37,-102.21,3.38459,1.39005,,-47.17,-19.17,-2.27,.7,10.25,2.15,2,50,0,,1.4,0,-49.43,-.28,8.72,47.71,-17.86,,0,,0,145605.41,22.19,0,50,,,,,,,,,,,,,-1.07,20131231,0,0,31.51,5,-34.78,-32.48,-.19,-.19,20140301,-1.14,,NSDQ,
ARCH CAP GP LTD,ACGL,87.22,1.12,1.9,10.65,8.22,7.48519,2.97,2.5931,716.76458,3526.16,2243.52001,769.55999,11.56,1.27,14.8,59.64,-12.82,72.83,2.97,11,2.3,1.26,2.06,3987.833,1026.96704,12.46,769.55999,742.5,325,11981.46972,1059.31005,6190.60009,0,0,4278.18017,20.482,,.65,.52,47.54,.18088,,709.72998,617.65301,19.60598,2.97,-7.27311,0,,0,.2,16.09,.77764,.15961,45,-10.45,-7.25,-3.61,.49,12.24,53.45,2.73,18.18,9.09,203,52.58,-6.39,-14.27,.99,59.69,7167.65,18.18,13.97,0,2.68,0,339166.84,134.1,0,72.73,.47,-.32,.42,0,.7,.23,.94,.09,4.21,3.83,.04804,5.89,4.29,20131231,0,0,5322.49023,58.86,15.38,9.93,1.16999,1.17,20140601,4.39,3.61,NSDQ,
ACADIA HEALTHCR,ACHC,142.78,3.12,3.51,12.66,5.31,-19.945,5.62,-10.50101,930.3233,713.41,0,125.83999,33.02,1.62,24.26,73.85,35.82,62.12,132.35,20.2,,75.09,91.19,997.677,273.12298,32.87,106.48999,69.23999,0,114.69,601.94,145.11999,682.10998,0,95.87999,56.84799,.62,4.38,1.27,9.81,.63393,,42.56999,72.92299,108.67647,132.35,153.636,0,,0,.06,7.49,7.98979,.42933,5,.7,.44,.83,.83,68.92,47.66,1.67,77.78,0,61,34.6,14.27,-3.6,.31,53.55,2790.97,87.1,32.79,0,5.86,0,460386.59,58.56,0,22.22,16.41,14.22,12.06,0,.43,.05,.45,.03,1.06,1.45,.00397,-2.6,1.45,20131231,0,0,480.70999,56.88,0,24.55,.57999,.58,20140601,1.07,1.96,NSDQ,
ACHILLION PHARM,ACHN,87.3,4.79,,-40.02,-40,-96.076,-37.38,-65.723,110.50882,2.61,0,-56.14,,,,,-22.75,1.56,-27.3,,,955.47,,,,,-58.89,-58.94,0,9.39999,.05,124.77999,0,0,.47999,0,,14.97,13.27,1.43,,,-58.94,-56.197,-25.0849,-27.3,,0,,0,,,,13.2234,130,106.39,-10.81,-6.16,2,77.54,6.85,1.89,55.56,0,12,2.43,171.82,97.59,-.18,8.13,663.05,0,,-4.94,0,0,2881845.5,96.8,0,44.44,0,0,2.95,,-.18,-.08,-.24,-.43,-.65,-.77,-.12688,0,-.66,20131231,0,0,152.94999,9.78,12.5,1.89,-.17001,-.17,20140301,-.63,-.96,NSDQ,
ACI WORLDWIDE,ACIW,79.49,4.24,2.19,17.62,6.72,9.41059,5.4,5.3659,533.05926,864.93,343.82998,195.72,13.55,1.83,21.94,114.82,-2.96,.48,26.49,15,38.96,29.76,20.45,1065.13,262.23001,24.99,120.37,93.15,0,345.6,708.07,436.35998,1098.36999,0,205.83,60.24499,1.38,1.16,1.26,4.15,.57265,,63.86,159.979,30.75348,26.49,24.24023,0,,0,.07,8.67,4.49809,.66704,80,-13.51,-3.24,5.34,1.04,50.7,18.74,3,25,25,34,15.73,6.38,-17.2,.02,21.67,2132.24,500,27.46,0,-.45,0,620764.88,113.78,0,50,-3.93,-1.59,-4.65,0,.14,.21,.57,.09,.6,.68,.01843,233.33,.75,20131231,0,0,543.69,20.83,-233.33,71.57,.11999,.12,20140601,.7,.85,NSDQ,
AXCELIS TECH,ACLS,75,1.09,.9,-4.85,-4.56,-11.58501,-3.74,-9.54931,97.30249,195.63,127.69,-10.58,,,43.75,,36.67,34.78,75.54,20,,-3.81,5.42,189.57499,40.625,,-15.65,-16.10001,0,35.45999,14.52,184.89999,0,95.77999,36.58,7.4057,,5.54,2.51,1.61,.95117,1.4555,-17.14,-11.051,49.63267,75.54,,0,,0,-.09,-3.93,6.42869,1.48166,6,-28.28,-15.05,-.57,2.63,21.65,1.75,1.33,100,0,103,1.54,13.64,-31.34,-.07,2.51,194.6,-100,,0,-375,0,395495.25,111.2,0,0,-150,-100,-69.23,0,-.03,0,-.01,-1.41,-.13,-.1,-.2233,-333.33,-.07,20131231,0,0,176,2.83,0,-28.33,0,0,20140301,-.15,.04,NSDQ,
ACORDA THERAPT,ACOR,53.7,2.44,3.44,5.9,4.76,-3.2435,3.9,-1.0444,305.38125,336.43,66.63999,40.59999,44.73,7.91,38.64,40.28,-9.76,-42.25,-86.89,10,-12.87,10.01,53.4,363.212,92.54599,45.03,31.03,28.86,0,96.63999,3.22,367.32998,17.45,26.17,30.78,.46615,.57,8.5,3.53,10.91,.57959,2.4579,16.44,27.01099,-89.39013,-86.89,-87.47509,0,,0,.05,5.97,12.31599,3.21171,157,.24,-13.86,-.98,1.33,12.03,29.27,2.6,20,0,12,27.88,-1.41,-4.03,.14,39.43,1221.53,71.43,79.11,-30,.54,0,486903.81,41.73,.46,80,-25,-14.71,25.21,-41.18,.1,.33,.09,.4,.41,.37,.23869,2.44,.65,20131231,0,0,440.35,39.83,100,58.69,.23999,.24,20140601,.41,.76,NSDQ,
ACTIVE POWER,ACPW,31.25,1.98,1.15,-65.73,-44.75,-27.484,-37.22,-15.14501,55.38999,61.7,42.29999,-6.90001,,,,26.32,9.09,-340,-1189.3,,,-19.15,11.49,62.7,18.5,,-7.98001,-8.35001,0,16.86,0,34.54999,0,12.02,9.06999,0,,2.47,1.34,1.21,1.33539,3.21339,-8.35001,-7.271,-334.89588,-1189.3,-930.91602,0,,0,-.14,-18.56,5.51259,.79833,4,-28.57,-13.98,-10.45,.83,2.7,2.4,1,100,0,83,2.36,-11.44,-31.62,-.12,3.84,55.39,-58.33,,0,0,0,37789.35,23.08,0,0,0,0,0,,-.05,,-.04,,-.39,-.4,,0,-.75,20131231,0,0,20.29999,3.5,-58.33,-40.82,-.19,-.19,20140601,-.44,-.1,NSDQ,
ACELRX PHARMACT,ACRX,104.55,4.62,10.53,-37.72,-31.94,-112.405,-22.44,-123.77,100.61599,29.5,0,-21.12001,,,,,-16.48,41.06,48.04,,,1132.33,,3.7667,2.45,,-21.91,-23.42001,0,6.86,14.35999,104.55999,0,0,0,18.215,,20.43,15.24,1.51,.34538,,-23.42001,-34.71,29.79616,48.04,,0,,0,-.79,-64.97,,15.24198,12,-38.46,-39.48,-31.9,1.84,8.58,6.96,1.83,66.67,0,10,6.39,-29.84,-41.09,-.25,13.03,301.85,0,,-83.33,2.2,0,2041333.75,43.37,.83,33.33,24.3,4.17,-47.13,,-.23,-.18,-.27,-.31,-1.25,-1.04,-.10626,-3.25,-.47,20131231,0,0,73.15,14.14,344.44,84.94,-.22,-.22,20140301,-.89,-1.2,NSDQ,
AMER CAP SNR FL,ACSF,,.91,,,,,,,46,,,,,,11.76,,,,,,,,,17.367,4.4,,,,,,,,,,,46.879,,2.44,,15.11,,,,,,,,,,0,,,,,3,,-1.03,-1.78,,37.93,13.8,1.33,100,0,97,13.25,1.47,,.29,14.7,138,-17.39,12.78,0,0,3.33,30049.1,10,0,0,0,0,0,,.29,.04,.29,.02,,1.08,.00925,0,,20131231,0,0,,15.58,,,.18999,.19,20140301,,1.17,NSDQ,
ACASTI PHARMA,ACST,75,3.29,195.48,-30.6,-30.6,,-24.15,,105.75599,.5,.27,-9.42001,,,,-300,50,-55.56,,,,-30.9,,.69599,.07999,,-11.11,-11.11,0,1.12,0,24.7,18.92,.23999,.87,0,0,12.99,21.84,.3,.01627,1.2523,-11.11,-9.922,-61.01449,,,,,0,-22.18,-1483.92,.62542,21.0625,,,-2.73,-3.01,,48.36,.999,,,,17,.82,.92,,-.03,1.19,105.76,133.33,,,41.67,0,551141.81,105.86,,,0,0,-9.09,,-.03,,-.03,,-.15,-.07,,0,-.1,20140228,,,31.84,,33.33,,.00999,.01,20140501,-.14,-.12,NSDQ,
ACACIA RESEARCH,ACTG,-31.25,1.61,9.16,-5.11,-5.11,11.166,-4.76,9.6476,427.0375,130.56,147.5,-26.91,17.31,,16.81,50,55.56,-103.86,-2082.39,20,52.18,-47.93,12.84,141.35,35.5,,-80.80001,-80.80001,0,26,0,273.72,318.57998,0,6.34,0,,7.15,10.53,10.57,.1532,,-56.43001,49.205,-194.92011,-2082.39,-678.7143,.67,,.375,-.43,-31.1,7.62379,10.28384,4,17.33,-8.62,13.89,.92,41.61,17.06,1.5,75,0,37,12.67,11.58,12.33,0,23.22,854.08,-2200,,0,55.56,2.93,677083.25,50.06,0,25,20,-42.31,25.83,0,.03,4.24,.1,.85,.23,-.04,-4.59626,0,-.61,20131231,0,0,562.19,23.38,-428.57,-757.14,.05,.05,20140601,-.09,1.01,NSDQ,
ACURA PHARMACT,ACUR,100,1.5,126.38,-75.96,-60.04,-29.97,-56.93,-28.039,20.347,.12,.10999,-13.761,,,,,100,-45,-19.2,,,,-59.5,15.201,.05,,-13.891,-13.9,0,1.1,9.6,27.45,0,.25,.18999,41.562,,14.44,24.73,.28,.00665,.56565,-13.9,-13.771,-43.89234,-19.2,,0,,0,-113.01,-8553.42,1.8506,24.55454,21,-37.73,-5.45,-1.89,1.73,4.76,1.04,2,50,0,17,.99,-15.45,-40.38,-.08,2.04,20.35,0,,0,,0,62826.8,19.56,0,50,0,0,0,,-.07,,.22,,-.3,0,,0,-.29,20131231,0,0,17.92,1.75,0,,-.08,-.08,20140301,-.29,-.3,NSDQ,
ACXIOM CORP,ACXM,114.71,2.05,1.29,10.1,7.21,6.17689,5.33,4.5953,705.71398,1097.55,828.95001,181.94,7.07,,19.91,,-9.3,13.16,-83.81,,6.48,-.17,-1.01,,,21.3,50.09999,38.43,0,249.46,289.04,665.52001,416.39001,0,178.69999,29.73999,,2.67,2.67,8.94,.88393,,8.85999,198.01199,-84.61806,-83.81,,0,,0,.01,6.03,6.48339,1.95149,10,-50.46,-15.5,-5.37,1.47,0,18.32,1.5,75,0,38,18.32,-31.26,-52.57,.17,38.9,1411.43,23.08,23.49,0,0,0,550215.25,77.04,0,25,0,0,0,,.19,.04,.2,.03,.82,.78,0,0,.86,20140331,0,0,682.84997,27.5,38.89,15.86,.23999,.24,20140301,.86,.92,NSDQ,
ADOBE SYSTEMS,ADBE,60.32,5.19,8.4,6.03,5.12,10.857,3.92,8.94719,8616.93847,4055.24,586.54998,744.85998,45.75,11.33,49.2,55.07,-22.02,-54.35,-49.78,9.33,-7.02,-7.91,7.14,4153.16601,1014.89898,88.78,423.64001,356.14001,0,1525.64001,1499.29003,4045.91992,5377.22998,0,599.82,11.901,.14,1.86,2.65,13.33,.39824,,289.98001,756.695,-65.17887,-49.78,-61.84644,0,,0,.07,9.85,7.5871,2.25878,47,15.65,-5.87,-4.87,1.25,84.94,69.2499,1.64,71.43,0,34,44.89,17.21,10.72,.16,73.57,34467.75,43.75,105.72,0,3.42,0,2059818.63,497.73,0,28.57,-1.75,-2.56,-.65,0,.13,.05,.14,.19,.83,.65,.07633,-6.25,.78,20131130,0,0,6724.62988,78.75,33.33,17.95,.23,.23,20140501,.84,1.41,NSDQ,
