Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
SANDERSON FARMS,SAFM,121.36,2.81,.78,28.13,26.71,10.01299,20.59,8.07439,700.51239,2682.98,2377.05004,276.57,10.43,,10.69,,77.87,141.7,247.86,,3.81,12.44,10.43,2786.06005,778.71301,10.87,206.24,200.11,0,161.53999,29.40999,430.73999,0,205.85,108.98,1.31889,,2.85,1.39,32.42,2.89219,10.50199,130.61,200.947,142.13941,247.86,,1.32,5.87639,.70999,.05,7.12,25.2,.71753,4,25.94,-7.34,-9.68,.11,72.6,91.09,3.25,0,25,232,60.62,12.78,20.57,3.58,102.59,2101.54,31.55,9.02,-18.18,17.75,.88,303639.69,23.07,.5,75,45.8,18.81,15.56,,3.58,.12,3.07,.37,6.09,10.1,.14479,0,8.38,20131031,0,0,671.59002,94,32.98,15.01,2.21,2.21,20140401,5.68,8.52,NSDQ,
SAIA INC,SAIA,131.37,3.41,.94,13.86,11.49,5.1718,6.77,3.0204,187.63665,1139.09,379.32998,126.19,11.86,,16.39,126.42,30.77,30.67,15.54,,129.18,3.68,7.24,1260.36096,325.60299,26.85,74.62999,68.13999,0,140.85,69.73999,170.25,8.77999,0,131.42999,18.73699,.27,1.27,1.21,12.76,1.88909,,43.61999,94.192,36.14231,15.54,20.69081,0,,0,.04,3.69,8.7629,.27561,7,42.43,.64,-1.83,1.39,94.65,45.65,1.83,66.67,0,140,28.31,13.27,36.36,.7,46.63,1125.82,-24.29,20.66,0,1.77,0,225050.75,24.66,0,33.33,-.69,.25,3.02,,.67,.06,.48,.07,1.72,2.21,.05687,2.7,1.7,20131231,0,0,304.79,50,3.03,-7.02,.52999,.53,20140601,1.69,2.79,NSDQ,
RETAILMENOT INC,SALE,100,2.69,5.7,10.1,7.33,,6.6,,656.971,209.84,13.03999,70.02999,23.59,1.75,22.65,,204.35,-57.41,14.59,20,,45.03,,282.177,61.643,58.24,53.4,50.41999,0,41.56999,26.25,235.82,260.47,0,59.27999,5.06419,,7.11,5.67,9.09,.49711,,31.53,48.15999,21.31589,14.59,,,,0,.15,13.29,5.8028,4.24681,1,-15.04,-6.96,-3.62,,6.05,24.46,1.25,100,0,164,23.01,-15.04,-18.66,.11,46.98,1313.94,-21.43,34.94,21.88,0,0,987627.69,53.72,0,0,0,0,0,0,.11,.24,.32,.11,.78,.7,.14142,0,.42,20131231,0,0,431.29998,42.67,0,-47.25,.10999,.11,20140301,.23,1.08,NSDQ,
SALEM COMM,SALM,,1.08,.9,10.44,4.24,1.9686,3.59,1.63699,,236.93,164.52,26.73999,7.1,,,,,47.37,208.53,,10.74,3.38,4.31,,,10.75,10,-6.89,0,31.78,287.67001,51.04,413.86999,0,38.34,58.823,,1.31,1.61,8.06,.42212,1217.92895,-2.73001,30.56399,-161.76471,208.53,,1.2,,.20749,-.01,8.5,6.4204,.39962,,.11,-10.39,-3.33,1.95,50,8.71,,,,,7.2,-2.02,-4.15,.13,10.22,219.01,69.23,,,,2.76,21637.9,25.15,,,,,,,,,,,-.23,,,,.81,20131231,,,201.77999,,176.92,3.2,.01999,.02,20140301,.56,,NSDQ,
SILVERCREST AM,SAMG,111.11,2.44,1.92,18.7,18.7,,8.6,,121.271,60.05,0,21.69,9.23,,16.97,,33.87,-44.14,-51.45,,,16.18,,69.68599,17.62,23.71,19.75,19.30999,0,52.56,0,38.40999,32.61999,0,5.4,0,,.69,.73,6.6,.66417,,13.68999,9.61999,-30.5781,-51.45,,,,.11999,.23,12.95,3.8124,.62804,2,-5.45,-7.25,-4.84,2.42,62.66,16.12,1,100,0,150,12.11,-3.42,-9.49,.19,18.51,121.27,5.56,19.42,0,0,2.98,62489.55,7.52,0,0,0,0,0,,.2,,.25,,.72,.83,,0,.68,20131231,0,0,48.15999,22,-25,-3.21,.18999,.19,20140301,.62,.95,NSDQ,
SANMINA CORP,SANM,106.67,1.69,.32,13.12,8.74,4.73579,4.7,2.69199,958.60498,5917.12,5490.2998,240.41999,9.65,.94,12.66,100,36.99,-2.38,-49.46,14.75,18.07,-2.89,1,6160.4248,1631.45996,13.86,144.39999,103.4,0,1206.71997,562.51,2204.58007,0,781.55999,944.80999,32.16099,.47,1.68,1.18,13.75,1.95659,6.8386,79.34999,201.88099,-55.97293,-49.46,-47.93495,0,,0,.01,2.4,6.3713,.39628,2,39.46,.39,-.64,2.47,92.48,23.29,2.38,50,12.5,242,14.56,13.42,33.51,.43,24,1917.21,11.63,13.82,9.52,3.37,0,676920.38,82.32,-.25,37.5,3.75,5.49,6.36,0,.48,0,.41,.02,1.18,1.68,.01258,0,1.68,20130930,0,0,1091.56005,23.6,11.43,15.18,.47999,.48,20140601,1.23,1.84,NSDQ,
S&W SEED CO,SANW,-35,1.48,1.67,-1.57,-1.44,-2.2958,-.98,-1.92751,14.88739,37.34,33.74,-2.93001,3433.39,2.17,17.27,,106.06,-188.89,49.87,21.67,,163.91,94.97,59.332,13.545,,-3.63001,-3.85,0,30.22999,4.65999,51.75999,20.06999,25.81999,12.69999,8.15649,,1.78,,4.32,.55373,1.3184,-2.51,.02199,-778.37836,49.87,,0,,0,,-1.76,3.6884,,1,-8.06,-.13,-.93,-.08,35.5,6.39,1.17,100,0,171,4.86,-14.11,-11.98,.09,9.17,74.44,45.45,46.99,0,2.64,0,35380.4,11.65,0,0,0,0,0,0,.02,.55,0,3.46,.07,.14,.24716,0,-.07,20140630,0,0,50.04999,10.22,200,,-.03,-.03,20140301,-.08,.37,NSDQ,
SAPIENT CORP,SAPE,116.47,3.38,1.54,15.97,15.95,14.31999,10.2,9.76519,348.73703,1305.23,901.55999,167.22999,16.13,1.25,18.07,,12.78,20,35.22,17.5,14.23,12.37,17.49,1438.79797,367.013,23.06,125.22,125.22,0,243.05999,0,667.69,176.64999,0,269.60998,.12368,,3.14,2.75,4.37,1.50689,,77.72,128.29499,32.15439,35.22,,0,,0,.06,6.77,4.91179,1.63778,18,-14.98,-9.56,-3.97,1.13,27.43,14.76,2.43,28.57,0,122,13.63,-7.81,-18.6,.17,17.75,2092.42,9.09,21.81,0,0,0,487889.69,141.76,0,71.43,0,-1,0,0,.2,.04,.22,.05,.54,.68,.03815,1.2,.64,20131231,0,0,589.21997,18.5,,,.11999,.12,20140301,.6,.82,NSDQ,
SANDY SPRING,SASR,92.08,1.15,2.99,7.9,3.59,2.55489,.96,.66627,117.32619,196.86,5.42999,88.98999,11.15,1.82,13.01,157.86,-9.38,19.59,-9.13,8,40.09,3.16,-.37,182.167,45.97299,14.91,80.97,66.98,0,2956.72998,650,2840.82006,85.5,8.35999,2758.03002,54.201,,.96,.96,20.41,.04778,.4047,44.41999,52.442,21.53214,-9.13,15.93332,2.07,81.20099,.63999,.23,20.17,.07183,.02517,32,-16.96,-8.41,-3.06,1.09,15.52,23.41,2.5,33.33,0,186,22.35,.04,-20.5,.38,29.18,586.63,-26.32,14.6,16.67,-2.67,3.08,46862.7,25.06,0,66.67,5.63,4.74,2.04,0,.44,.01,.45,.02,1.8,1.6,.00945,0,1.57,20131231,0,0,499.35998,26.5,13.16,-2.76,.28,.28,20140601,1.77,1.8,NSDQ,
ECHOSTAR CORP,SATS,800,1.31,1.39,.51,.33,2.0836,.25,1.8041,1536.734,3282.45,2206.88989,665.63,8.97,9.75,31.89,,3366.67,-98.75,-87.35,5,-33.72,5.15,14.35,3546.1499,918.73999,253.5,158.52,-34.03,0,558.44,2352.59008,2356.12011,766.21002,66.08,514.41998,0,,3.86,4.1,38.81,.48879,31.309,2.51999,509.635,-98.80592,-87.35,,0,,0,0,.51,6.45739,3.1796,3,1.97,-3.37,-2.44,1.23,79.28,50.7,1.33,100,0,23,39.64,9.79,-2.38,.28,53.59,4610.2,133.33,48.75,0,-1.27,0,147258.3,90.93,0,0,-1.05,0,-1.45,0,.32,.27,.31,.33,-.09,1.04,.2363,-1.19,.2,20131231,0,0,3226.22998,61.5,162.5,91.46,.14,.14,20140301,.03,1.59,NSDQ,
SPIRIT AIRLINES,SAVE,125.53,5.43,2.62,25.58,24.66,31.93099,16.41,18.88199,793.14117,1654.39,551.73999,313.79,22.75,.75,16.81,108.97,27.44,69.93,68.07,27.99,-1.38,25.49,25.63,1965.21801,525.21301,23.53,282.41,282.41,0,335.98999,0,649.07,0,0,23.23999,0,0,1.72,1.93,11.14,1.46169,,176.91,208.90199,63.11082,68.07,59.23699,0,,0,.11,10.6,58.47999,1.86264,6,44.06,1.63,-2.87,1.59,91.78,65.42,1.11,100,0,119,30.24,16.97,37.92,.9,68.57,4758.85,1.11,21.13,0,5.87,0,769765.88,72.74,0,0,-2.02,4.17,4.94,10.9,.99,.04,.68,.07,2.37,3.1,.0237,17.9,2.78,20131231,0,0,769.10998,76.44,0,6.9,.91,.91,20140601,2.43,3.89,NSDQ,
