Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
AVIV REIT INC,AVIV,106.67,-6.32,-4.26,14.29,3.73,.44999,.45,20140601,1.69,20131231,1.77,0,2.04,-1.76,-5.83,5.33,-98.66,1396.25,9.2,,.47,.5,.48,1.33,1.78,2.05,27.17,0,33.33,18.57,1.63,-1.75,1.12,.7,84.89,29.25,21.64,28.1,211301.84,1325.25,11.15,3,1,33.33,0,183,88,0,0,0,33.33,0,1,1,47.16,111.63,0,33.65,678.59002,134.66999,0,0,83.91,.11647,,19.13,1.9206,.12,0,568.44,16.25,-1.03,4.54,4.84,,2.67,.0748,.2,.19,.02,1.73469,1.10399,,2.23,8.47,1.73,20.18,1.72,13.71,15.79,15.88,46.941,174.442,,14.53,,662.62597,,5.12,664.88049,1396.25,232.55358,52.37099,17.05999,23.06999,63.84999,99.16,0,141.07,
AVALON RARE MTL,AVL,,,0,,,-.01,-.01,20140501,-.07,20130831,-.06,,,,,,36.36,-13.91,,,-.02,,,-.08,,,1.5,0,50,-23,-17.77,-6.92,-.56,3.42,0,.99,.42,.4235,147448.2,53.51,-27.82,2,1,0,0,,,0,0,0,50,0,0,1,126.34,,,0,2.60999,11.51,0,0,.37999,0,,-6564.76,.23728,-31.48,0,107.87999,.9,,-6.64,-6.64,,2,4.26436,4.41,3.4,0,0,0,,-6.5,509.59,.47,,,,,,,,,-68.4,,,0,0,-.52227,-13.91,-.2715,-7.818,-11.08,-11.08,-11.08,-11.08,0,.35,
AVITA MED LTD,AVMXY,,0,,,,,,,-.55,20140630,,,,0,,33.33,15.38,,,,,,,-.03,-.02,-.02,2.5,0,0,-23.83,-9.72,-7.14,-8.88,-.81,35.98,2.64,1.56,1.95,10118.4,31.72,-28.59,1,0,0,-200,115,10,2,0,0,100,0,0,1,16.26,,,0,2.50999,13.13,0,.77999,1.24,,,,,,0,10.73999,.41,,,,,3,,,5.5,,,0,,,,4.71,,,,,,,5,,-14.79,,31.71699,,0,,,-4.92425,-8.31401,-8.31001,-8.44,-8.44,-8.44,.68999,2.89,
AVANIR PHARM,AVNR,62.5,6.9,0,0,-57.59,-.08,-.08,20140601,-.53,20130930,-.47,0,,45.24,0,49.06,-17.78,-38.68,16,,-.08,,-.05,-.36,-.27,-.12,9,0,66.67,74.7,21.28,10.34,6.53,1.07,100,5.87,2.65,5.87,1839735.75,938.2,63.77,3,2,0,0,10,110,0,0,0,33.33,0,0,1,159.83,20.83,0,21.42,34.79,71.83999,0,.70999,12.52,1.22549,8.4715,-69.03,6.4622,-1,0,18.46999,.42,44.44,-150.96,-235.76,-110.56,1.67,1.68467,2.04,3.06,.19,16.00399,0,,-84.59,9.02,14.06,,,,,,32.629,113.37699,136.46,82.59,-72.405,469.09799,0,0,-27.34926,-38.68,-26.33077,-74.056,-75.47001,-75.47001,-71.38,-69.96,4.13999,75.37,
AVON PRODS INC,AVP,82.78,-.54,-4.76,-40,-13.46,.2,.2,20140601,1.02,20131231,.8,0,-.39,-1.36,6.89,-20.37,20,-99.2,7.37,-17.6,.21,.32,.17,.98,.81,.97,16.81,0,40,-19.11,-1.49,0,.8,1.36,10.38,22.48,12.94,13.93,5327739.5,6051.85,-24.17,10,4,10,0,221,4,0,0,0,50,0,1,5,434.45,118.26,-1.04,2532.69995,2240.5,3479.10009,316,1005.59997,676.29998,1.47819,3.5741,3.78,14.15999,-.01,0,1127.5,2.21,1.1,9.9,33.97,16.67799,2.4,.80214,1.1,1.44,2.58,72.091,.23999,-29.636,5.59,.65,6.3,7.24,2.33,14.36,17.15,17.41,2169.28808,9100.1289,-1.71,-8.89,8.48709,672.42749,2.99,1.72,-155.13907,-99.2,-32.70589,834.40002,-56.40001,162.6,283.20001,667.09997,3772.5,9764.4,
AVNET,AVT,86.47,-1.05,3.64,-3.74,1.89,1.13999,1.14,20140601,4.24,20140630,4.24,0,-1.09,-.66,-33.95,8.61,22.19,21.23,9.32,14.05,1.1,1.22,.99,4.2,4.61,4.97,48.43,0,62.5,-1.63,.53,-2.82,4.88,1.55,55.13,47.5,38.34,43.39,909099,6005.18,-7.79,8,5,0,0,100,2,0,0,0,37.5,0,0,3,138.4,109.52,0,1213.81005,4978.81982,8954.19042,1532.77001,2613.3601,5220.52001,2.48869,9.53429,2.16,5.3055,.02,0,4890.18994,35.33,-1.1,10.06,12.67,10.63799,1.88,.22501,1.27,1.8,.25,19.885,.6,,5.38,.22,1.23,8.21,1.01,8.74,9.42,10.23,6735.75585,28268.21289,9.82,8.02,5.59829,750.64697,.23,1.38,6.13136,21.23,21.22558,731.28002,545.59997,701.11999,805.94,943.11999,24273.91992,27499.65,
AVT INC,AVTC,,0,,,,,,,,20131231,,,0,,,200,,,,,-.03,-.05,-.04,-.14,.14,,2.6,0,0,56.25,-25.65,-6.98,-4.31,,22.48,5,1.13,2,24221.65,22.73,46.47,1,0,0,0,73,16,0,0,0,100,0,0,1,11.36,,0,,,,,,,,,,,,,,,0,,,,3,,,,,,0,,,,,,,,14.29,,1.2,8.14999,,,,22.72999,,0,,,,,,,,,,,
AVX CORP,AVX,87.5,17.33,41.18,53.33,30.3,.23999,.24,20140601,.75,20140331,.83,0,5.26,10.37,28.83,17.33,25,39.97,8.58,-7.93,.17,.2,.21,.67,.88,.9,15,0,0,-2.23,4.69,4.21,.15,1.31,69.08,14.09,12.57,13.62,179906.05,2290.3,-8.34,2,0,0,0,94,28,0,0,0,100,0,0,2,168.16,123.53,0,0,161.92999,1768.71997,280.77999,550.51,279.79,.57397,2.01939,9.84,5.41289,.09,0,2047.68005,12.3,10.53,6.88,6.88,8.36019,3,5.79521,7.52,10.04,0,0,.35749,22.72599,5.65,1.61,1.11,12.93,1.8,15.05,15.48,16.41,364.6,1427.69995,1.21,1.99,7.14739,1145.14953,2.08,2.79,297.53082,39.97,297.52761,177.23699,127.02999,163.35,165.77999,215.97999,1163.77001,1442.6,
AVERY DENNISON,AVY,92.81,-.66,1.27,-1.52,2.22,.8,.8,20140601,2.68,20131231,2.83,0,.81,-.86,0,12.69,28.85,-17.32,10.15,2.59,.79,.83,.74,2.66,3.02,3.44,55.6,0,66.67,-3.61,.37,-4.44,1.3,1.37,61.87,52.14,42.28,48.38,759661.75,4606.02,-9.64,6,4,0,-25.01,192,1,0,0,0,33.33,0,0,2,95.21,107.61,0,950.59997,1554.09997,2091.80004,847.09997,494.1,1016.5,1.3486,8.62619,4.45,5.8554,.04,0,1492.19995,15.01,-3.57,11.36,18.57,10.185,1.67,.37397,1.03,1.31,.66,39.81,1.13999,11.225,6,.74,3.22,9.88,1.58,14.06,16.02,17.09,1563.40002,6411.47509,-.42,1.73,5.00099,921.20361,2.79,2.89,-4.18666,-17.32,.1857,473.20001,215.8,363.1,422.1,626.70001,4502.2998,6140,
HOMEAWAY INC,AWAY,121.43,12.42,20,40,-1.43,.05999,.06,20140601,.29,20131231,.26,0,7.94,-2.04,2.44,-10.84,81.25,-25.59,23.83,,.05,.05,.07,.34,.26,.31,43.25,0,57.14,-18.66,1.99,2.59,-.66,.7,27.6,48.36,27.49,33.25,1438008.5,3109.31,-23.75,14,8,0,-4.97,86,13,.09,0,0,42.86,0,0,6,93.51,60.71,0,0,212.13999,432.57,588.27001,0,23.70999,.32447,,5.76,15.614,.05,0,823.34997,9.87,6.62,2.36,2.84,3.4114,1.86,1.92731,2.04,3.36,.33,25.579,0,,1.87,7.77,3.37,55.9,5.4,107.75,128.59,127.89,115.578,446.76098,24.95,23.57,2.48519,444.18685,0,0,-5.71829,-25.59,18.18181,54.303,17.68,29.01,29.01,58.09999,54.63,346.49,
