Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
AGILENT TECH,A,114.58,-.46,5.41,0,3.38,.77999,.78,20140701,2.88,20131031,2.98,0,-1.32,-.98,10.82,6.38,-7.69,-26.23,10.2,24.35,.74,.78,.89,2.84,3.06,3.36,64,0,88.89,2.33,4.17,3.19,6.01,1.67,83.37,60.93,46.44,58.52,2120155.5,19502.44,-4.08,9,8,0,0,65,1,0,0,0,11.11,0,0,1,333.26,110.34,-.15,2699,1602,4983,3963,1066,899,.64534,3.0232,14.55,7.78539,.11,0,5289,16.92,-5.8,12.43,18.23,13.94799,1.22,1.88389,2.45,3.06,.39,27.88599,.46,,9.39,2.83,3.46,14.16,1.87,17.4,19.1,19.64,1834.24304,7008.05712,9.35,-1.11,9.40719,2437.80444,.46,.9,-29.61501,-26.23,-37.20729,1367,724,859,966,1338,3247,6782,
ALCOA INC,AA,98.15,3.67,38.46,80,42.11,.18,.18,20140601,.33,20131231,.42,22.22,3.14,9.4,0,85.61,37.5,-1925.58,7,-14.15,.13,.16,.18,.35,.61,.86,15.6,0,46.67,53.53,20.71,-1.81,.8,1.74,91.8,17.09,7.7,16.32,16221322,19131.68,43.92,15,7,6.67,0,25,36,0,0,0,46.67,0,1,7,1172.28,160.61,-.89,7607,6105,6969,3415,2705,1818,.62076,6.31209,2.09,11.39299,-.1,55,13467,12.5,3.92,2.13,3.26,1.28649,2.23,.40065,.7,1.26,.52,34.10699,.11999,0,1.3,.85,1.31,4.97,3.81,18.9,26.65,38.86,5647.52978,22618.35937,4.55,-2.82,.83306,1594.30627,1.11,.74,-1161.78858,-1925.58,-1296.33509,3510,-2285,-1816,-1363,1790,19286,23032,
AAC TECH HLDGS,AACAY,,0,15.94,,,.64999,.65,20140301,3.41,20131231,3.35,,0,0,0,.88,49.56,29.86,15,,.71,1.13,.95,3.53,3.44,4.1,,0,0,21.51,6.57,-4.95,-6.32,.62,69.65,68.45,38.93,59.49,312.4,7305.37,13.9,1,0,100,0,94,34,0,0,0,0,0,1,0,122.8,133.8,0,2.27999,432.89999,937.63,34.29999,134.36999,419.63,.80668,5.51749,31.46,3.50559,.32,0,1281.77001,10.44,0,34.85,34.91,,4,.88618,1.86,2.17,,.17756,.89471,39.19699,25.38,5.59,5.7,14.85,1.15,14.51,17.29,17.76,401.69,1483.20996,,31.99,,7305.37304,1.69,2.2,,29.86,49.06729,492.07199,415.54,458.05999,459.91,532.96997,749.35998,1316.07,
AMER AIRLINES,AAL,89.9,-2.1,2.06,8,,1.98,1.98,20140601,11.56,20131231,,0,-5.31,1.59,9.55,-53.37,,-282.29,35.55,,1.94,1.16,1.78,2.63,5.39,6.53,50.04,0,75,61.03,3.96,-4.28,7.08,,80.32,44.55,24.78,40.66,10974710,29283.17,50.95,12,9,0,0,126,10,0,0,0,25,0,0,3,720.2,,.64,15353,13806,14323,6397,1012,1560,.90211,26.993,7.03,20.63899,-.07,0,-2731,5.67,-3.39,20.17,,-121.464,1.58,.85115,.96,.99,3.72,78.819,0,,6.34,.82,7.17,13.58,.21,6.23,7.54,,11287.54687,43154.18359,9.21,7.6,-3.87801,3253.68579,,.98,-81.50808,-282.29,2.2388,2264,-1834,-2180,-1324,-304,19805,26743,
AARONS INC,AAN,101.54,-6.46,2.78,0,1.56,.37,.37,20140601,1.86,20131231,1.6,0,-9.58,-8.81,0,-9.14,-8.82,-36.35,14.75,8.86,.36,.41,.38,1.86,1.69,2.26,33.67,0,42.86,-12.28,-21.68,-9.38,1.14,1.36,7.25,35.9,25,25.79,887839.38,1862.84,-17.77,7,3,0,4.76,68,5,0,0,0,57.14,0,0,4,72.23,93.93,0,142.69999,544.5,1337.31994,242.71,869.71997,68.68,1.17929,.39188,5.06,35,.05,0,1139.95996,16.46,-18.32,8.23,10.02,11.93799,2.14,.73263,.86,2.28,.52,34.00899,.07199,13.951,5.97,.79,1.57,2.38,1.03,11.4,15.26,16.12,695.54699,2685.15209,6.89,.54,8.36369,266.11972,.25,.33,-29.32397,-36.35,-30.27046,827.50201,120.66,184.96,190.57,875.66998,361.89001,2234.63,
APPLIED OPTOELE,AAOI,163.89,-2.72,140,,,.11999,.12,20140601,-.1,20131231,.17,0,-22.68,2.54,0,696.67,9.09,216.83,19.67,,.05,.25,.2,.05,.6,1.48,28.4,0,100,25.85,.69,-15.37,3.51,,51.15,27.42,9.96,18.89,247894.59,279.29,17.98,5,5,0,0,69,1,0,0,0,0,0,0,0,14.78,393.34,0,8.92,39.04999,77.93,1.80999,19.6,22.07999,.82415,3.03539,2.18,4.642,-.02,0,63.06999,7.56,-7.81,2.6,4.25,,1,.92829,1.49,2.64,0,.05364,0,,1.8,2.74,2.5,97.81,1.61,12.76,31.66,111.12,36.09999,132.94999,,23.66,,93.09633,,0,,216.83,-48.93617,2.43899,-1.4,-1.4,-.28001,3.11999,55.38999,78.42,
AAON INC,AAON,,,7.69,,,.2,.2,20140601,.65,20131231,.7,,,,,,31.08,20.18,,11.03,.14,,,,,,,0,0,-10.24,-8.31,-9.56,.1,1.27,48.2,22.96,15.55,19.12,157370.05,1050.23,-15.85,1,0,0,0,,,0,0,0,100,0,0,1,54.93,,,0,36.31999,113.62,0,32.13999,40.13,1.4648,6.86689,11.9,7.11089,.12,0,164.1,3.23,,23.36,23.36,19.81399,3,1.13849,2.24,2.86,0,0,.11111,3.6716,17.43,3.17,5.91,21.49,,,,27.31,,,8.53,5.95,14.128,,1.18,.91,33.9984,20.18,36.80757,49.047,37.54,56.29,56.29,69.38999,231.33999,321.14,
ADVANCE AUTO PT,AAP,90.01,1.73,3.48,4.17,8.1,2.07999,2.08,20140601,5.67,20131231,6.75,0,2.58,1.45,6.31,36.19,8.62,11.98,18.69,16.74,2.01,1.49,1.87,5.44,7.72,8.6,143.58,0,43.75,20.46,8.19,3.72,6.45,.59,97.12,134.94,79.12,133.33,874353.31,9727.09,12.93,16,7,0,0,34,6,0,0,0,56.25,0,0,9,72.96,126.51,0,1052.66003,2764.78002,3989.37988,249.69999,2556.55004,277.58999,1.24979,1.35739,6.01,18.788,.06,0,1516.19995,24.87,-.14,16.63,30.66,23.06999,2.16,.41784,.52,1.25,.99,49.768,.23999,0,7.51,1.18,5.36,15.53,.92,15.5,17.27,19.75,2284.02001,9842.07128,5.93,4.65,9.5221,972.7091,.37,.18,11.10241,11.98,1.05243,625.25402,391.75,626.39001,663,870.78997,3241.65991,6493.81,
APPLE INC,AAPL,99.89,.16,4.92,13.81,6.71,1.27999,1.28,20140601,5.68,20130930,6.19,-.78,.81,.37,-.11,11.15,-9.96,2.14,12.9,40.94,1.22,2.31,1.28,5.63,6.31,6.93,108.27,0,77.14,23.73,13.02,5.56,3.3,.88,100,99.16,64.3,99.16,46202888,597934.81,15.98,35,27,0,-1.34,138,1,.02,0,0,22.86,0,0,8,6030,108.36,.21,16960,43658,73286,5756,1764,20641,.82791,60.06,21.64,9.0774,.22,0,123549,20.06,-3.92,26.85,31.2,34.618,1.6,1.16544,1.64,1.47,.24,19.357,1.6286,,17.92,3.36,4.94,14.4,1.22,14.3,15.71,16.02,39300.79687,180218.625,38.22,9.2,22.704,27178.85546,.86,1.9,-4.95312,2.14,-11.25249,43794,37037,50155,50155,56912,106606,170910,
AMER ASSETS TR,AAT,103.85,.63,2.63,0,1.96,.38999,.39,20140601,1.54,20131231,1.57,-2.44,-.81,-.15,4.57,3.9,14.07,-96.43,3.55,16.72,.38,.41,.41,1.53,1.6,1.7,37.5,0,60,12.41,3.09,-.31,.77,.96,93.51,35.77,28.99,35.33,161745.34,1481.56,5.37,5,3,0,0,212,10,0,0,0,40,0,0,2,41.94,103.85,0,93,994.40002,97.93,0,0,39.81999,.1376,,.53,6.5004,.09,0,686.57,17.59,-.41,.09,.19,.37141,1.9,.05843,.1,2.91,1.43,58.79399,.85,3.83629,.07,5.79,2.01,16.63,6.23,20.75,22.08,22.5,,262.38,21.63,8.32,.27496,370.39099,3.02,2.49,-77.59424,-96.43,-56.82397,85.91999,22.04999,22.59,80.61,151.30999,68.59999,255.06,
ANGLO AMER -PLC,AAUKY,,11.88,,,,,,,1.03,20131231,,,,16.67,20.84,-13.11,-8.04,,10.32,,,,,.93,.89,1.15,18.7,0,16.67,23.69,2.05,1.81,.07,1.43,87.76,13.94,10.1,13.47,59810.55,37624.62,15.95,6,1,16.67,0,116,63,0,0,0,66.67,0,1,4,2793.22,,,15740,8351,16159,4083,4789,3351,,5.54279,,,.01,0,37364,13.4,,,,,3,.96024,1.36,1.93,,29.63999,.38499,30.218,,,1.01,7.07,1.46,11.66,15.05,,,28205,,2.02,,18812.31054,1.66,2.78,,,169.3811,5311,426,1700,2284,4922,26935,29342,
ADV OIL&GAS LTD,AAV,,,,,,.12999,.13,20140601,.06,20131231,.23,,,,,,150,8.05,,,,,,,,,6.94,0,50,29.49,-2.77,5.44,2.18,1.77,58.64,7.08,3.55,5.62,399600.84,951.82,21.39,2,1,0,0,,,0,0,0,50,0,0,1,169.36,,,343.66,99.3,34.5,0,0,31.1,.15507,,17.1,8.74489,.01,0,1169.95996,5.39,,3.02,3.84,-3.89861,2,.03423,.35,.19,.07,7.80889,0,,2.81,4.05,1.01,8.01,,,,24.43,,,-7.29,-1.45,-3.2133,,0,0,17.13998,8.05,102.82606,118.19699,2.51999,4.65999,30.04,138.03999,64.41,259.93,
ATLAS AIR WORLD,AAWW,127.51,1.06,26,246.15,73.33,.62999,.63,20140601,3.78,20131231,3.87,0,-7.23,0,,-16.22,-20.92,-27.81,,-1.48,.5,1.28,.8,3.5,3.17,3.38,35.4,0,33.33,-17.93,-7.98,-5.38,-1.17,1.78,18.66,49.64,30.13,33.77,289677.41,852.09,-23.07,6,2,16.67,0,82,7,0,0,0,50,0,1,3,25.23,71.09,0,1539.13,417.14001,593.95001,33.84999,0,132.14999,.44106,,5.68,12.272,.06,0,1322.11999,53.72,-.41,3.23,7.39,6.43149,2.45,1.10706,1.42,1.12,1.38,58.06499,0,,2.5,.5,.63,4.46,,9.98,10.66,8.73,439,1772.56994,10.67,.66,4.8941,284.02835,0,0,-40.43712,-27.81,-27.77864,189.55499,93.83,117.81999,199.11999,291.89999,410.35,1656.9,
ALLIANCEBERNSTN,AB,100,3.4,7.14,-4.88,11.76,.44999,.45,20140601,1.78,20131231,1.84,0,5.83,4.98,-7.47,2.62,39.06,122.9,7.8,-2.96,.42,.55,.45,1.62,1.83,2.11,29.33,0,50,20.99,9.41,-6.85,2.14,1.31,77.1,27.76,19.29,25.82,259728.41,2484.86,13.42,4,2,25,9.09,141,37,0,0,0,25,0,1,1,96.24,112.5,0,268.39001,3047.71997,3041.10009,3155.40991,0,1550.63,.40035,,8.33,1.80149,.18,0,4069.71997,41.98,3.45,5.7,6.11,6.09509,2.5,.48904,1,.97,.08,7.7961,1.59,-1.17891,3.34,.84,.62,5.47,1.81,12.26,14.14,14.03,,3053.94995,-.64,6.52,3.72729,828.28833,7.01,6.97,67.63232,122.9,174.02995,433.80899,517.66998,564.25,567.21002,827.51,0,2915.05,
ABAXIS INC,ABAX,104.76,4.9,10.53,-15,-12.71,.20999,.21,20140601,.63,20140331,.7,0,-5.56,.68,0,49.52,-48.78,-43.68,16.67,6.89,.19,.23,.22,.66,.94,1.11,44.17,0,0,14.74,9.94,8.61,1.86,.98,87.33,47.87,32.4,45.91,234732.66,1031.05,7.56,5,0,0,6.25,23,71,0,0,0,100,0,0,5,22.46,122.22,0,.57999,16.86,165.41,1.62,26.96999,28.82999,.81646,3.2392,8.9,5.6085,.08,0,193.91,8.78,3.13,8.2,8.22,9.0677,3,6.50118,8.21,7.46,0,.27827,0,,7.26,5.85,5.23,46.14,2.92,41.45,48.74,65.59,49.97299,200.488,10.76,-7.61,8.02159,206.20939,.01,.22,-48.34116,-43.68,-48.34245,22.135,14.18,21.94,21.94,29.88999,88.76,171.87,
ABB LTD-ADR,ABB,116.07,-3.23,-6.67,-27.27,-8.07,.28,.28,20140601,1.23,20131231,1.12,0,-5.56,-5.01,0,-2.44,4.24,-8.96,11.6,.32,.3,.34,.32,1.22,1.2,1.45,24.67,0,0,-14.87,-5.2,-.83,.36,1.44,21.13,27.09,21.41,22.61,1751250.38,52336.34,-20.2,4,0,0,0,73,15,0,0,0,100,0,0,4,2314.74,90.28,0,7570,16675,26425,13967,6004,12146,.86892,4.7652,6.18,3.38649,.07,0,19208,7.85,-4.41,9.73,13.66,14.43299,3,.49625,1.22,1.56,.42,29.454,.70408,13.22,5.37,1.26,2.88,12.64,1.62,15.56,18.84,20.19,10565.98046,41678.57812,7.61,6.39,7.07569,17445.44726,2.55,3.4,-.59635,-8.96,3.06952,4142,2787,4066,4456,5774,29856,41848,
ABBVIE INC,ABBV,94.31,.52,7.89,5.88,4.43,.81999,.82,20140601,3.14,20131231,3.18,0,-5.41,6.03,9.07,.7,-6.27,-19.2,8.18,18.17,.76,.88,.77,3.15,3.16,4.01,66.17,0,71.43,2.84,.67,.57,1.88,1.88,75.42,58.22,42.31,54.31,12212990,86356.49,-3.59,7,5,0,15.38,85,7,0,0,0,28.57,0,0,2,1590.07,94.31,0,14292,6879,17848,8167,1150,4803,.66895,4.10099,26.65,4.53079,.22,0,4492,3.28,.43,27.19,114.15,42.43799,1.57,1.72917,2.43,2.82,2.77,73.497,1.6,,17.83,4.48,16.55,14.49,2.1,13.53,17.18,17.08,4745.93505,19626.83593,3.81,2.23,27.07399,17271.29882,,3.09,-22.7612,-19.2,-21.74408,5963,4128,5332,5610,6507,4581,18790,
AMERISOURCEBRGN,ABC,103.71,5.09,9.78,6,5.95,1.00999,1.01,20140601,3.14,20130930,3.66,0,1.65,1.76,1.47,24.6,10.95,-52.45,14.08,14.46,.92,.96,1.05,3.08,3.91,4.35,79.64,0,57.14,8.95,6.92,5.31,.94,.69,93.7,77.95,56.53,76.6,1838888.25,17299.27,2.13,14,8,0,-3.45,64,21,0,0,0,42.86,0,0,6,225.84,132.59,-.9,1396.59997,14870.62988,14393.65039,3499.70996,6981.49023,6051.91992,5.64319,13.51099,.76,18.05999,0,0,2319.73999,8.8,8.91,23.06,39.46,16.919,2,.09147,.5,.97,1,50.115,1.04999,33.64699,4.31,.15,8.71,19.43,1.39,17.6,19.58,20.93,30634.87695,118749.45312,6.51,10.65,4.4654,1441.60559,1.3,1.23,-21.12414,-52.45,-39.67843,910.31597,433.70001,824.45001,898.34002,1069.13,85451.35156,87959.16,
AMERIS BANCORP,ABCB,138.28,1.08,-20,-3.03,-16.38,.31999,.32,20140601,.9,20131231,1.09,2.27,-2.06,-2.21,,82.22,210.34,32.35,,50.66,.4,.47,.44,1,1.64,1.99,26.8,0,80,7.63,8.71,8.04,2.57,1.12,79.71,24,17.69,22.72,94494.65,571.89,.89,5,4,0,8.57,151,15,0,0,0,20,0,0,1,25.17,170.19,0,250.02999,3082.73999,2770.28002,41.04999,67.26999,2435.06005,.05516,.12558,14.63,.07837,.12,28,288.69,13.64,-3.8,6.16,9.42,2.28419,1.6,.08691,.88,.87,.48,32.47299,0,,.81,2.97,1.67,18.12,,11.42,13.85,20.84,57.83,214.033,2.94,-7.73,.27083,142.97125,.18,.88,60.80112,32.35,38.66943,29.96999,20.01,29.29999,31.03,37.38,8.39999,172.87,
ADVISORY BOARD,ABCO,99.05,1.11,10.53,13.04,1.35,.20999,.21,20140601,.91,20140331,.88,-4.76,-1.79,1.83,0,0,-8.08,-18.77,17.4,14.67,.19,.22,.21,.87,.91,1.11,62.91,0,71.43,-21.05,3.99,.74,.8,-.16,14.92,69.55,46.89,50.27,283554.5,1839.98,-25.99,14,10,0,-6.12,,,.1,0,0,28.57,0,0,4,36.6,90.43,0,0,566.10998,506.20001,163.16999,0,447.89001,.52666,,6.1,1.2136,.05,0,337.04998,8.97,-2.8,10.14,10.15,14.96,1.71,.103,.89,1.02,0,0,0,,3.21,3.41,5.6,27.21,3.17,45.29,55.24,57.13,146.46099,597.98101,21.78,15.47,4.5602,367.99661,0,0,11.68614,-18.77,5.76923,66.78099,24.75,49.88999,49.88999,82.97,272.51998,520.6,
ALCENTRA CAPITL,ABDC,,-4.86,,,,,,,,20131231,,,0,1.45,,,,,,,.25,.34,.33,,.88,1.39,15.25,0,75,,-10.84,-2.84,4.39,,34.85,15.05,12.41,13.33,92890.55,180.18,,4,3,0,25,123,9,-.5,0,0,25,0,0,1,13.52,,0,,,,,,,,,,,,,,,-1.48,,,,1.5,,,.32,,0,0,,,,,,,9.56,15.15,,5.89799,16.368,,,,45.0455,,5.34,,,,,,,,,,,
AMBEV-PR ADR,ABEV,133.33,1.33,-14.29,0,-7.42,.05999,.06,20140601,.32,20131231,.33,,0,2.38,0,6.88,-5.88,2.23,5.53,10.31,.07,.13,.08,.31,.34,.37,7.82,0,40,-3.4,-4.05,-5.71,2.31,.8,48.49,8.02,6.23,7.1,15339445,111242.42,-9.45,5,2,0,-21.05,89,14,0,0,0,60,0,0,3,15667.95,121.21,0,863.90997,8007.87011,9541.05957,14092.38964,1302.97998,2537.30004,.59249,4.19019,32.17,7.20709,.36,0,20507.17968,1.2,0,28.36,29.71,28.31599,2.3,.71189,1.03,1.09,.04,4.08589,.12139,20.36,19.06,6.84,5.9,19.06,3.75,19.4,20.76,21.78,,16474.23828,5.66,-8.51,18.746,22248.48437,2.26,2.62,-2.45685,2.23,-3.40713,5833.75585,5292.14013,6437.62988,6437.62988,7412.7998,5312.50976,14849.56,
ASBURY AUTO GRP,ABG,89.67,2.82,8.18,18.39,9.6,1.19,1.19,20140601,3.53,20131231,4.01,1.87,1.66,2.4,0,20.92,33.71,13.5,16.16,43.86,1.1,1.02,1.07,3.47,4.27,4.75,67.83,0,57.14,29.31,8.49,-1.82,.3,1.64,91.04,71.86,45.42,69.49,231257,2130.42,21.22,7,4,14.29,-7.5,234,4,0,0,0,28.57,0,1,2,30.66,117.26,0,543.29998,834.20001,1108.59997,54.5,767.70001,236.6,3.0057,6.12389,2.19,26.111,.02,0,490.6,17.25,3.77,11.92,24.61,7.9787,2.19,.12502,.41,1.32,1.02,50.408,0,,6.59,.38,4.03,14.93,1.01,14.64,16.28,17.33,1498.94299,5823.82812,9.03,14.97,4.44029,355.07067,0,0,11.22554,13.5,32.72506,144.1,109.09999,165.3,219.3,253.69999,4457.3999,5334.9,
ABENGOA SA,ABGB,,0,,,,,,,1.14,20131231,,,,0,0,-7.89,,,19.49,,,,,1.14,1.05,2.5,30.21,0,0,70.57,26.08,-4.88,2.65,,81.16,29.27,10.43,25.72,8437.45,3812.3,59.9,1,0,0,0,,,0,0,0,100,0,0,1,148.22,,,13909.01953,9883.0996,8074.02001,1118.56994,439.64001,2483.87988,,13.47,,,.01,0,2514.46997,24.65,,,,,3,.52114,.77,.92,3.97,79.882,0,,,,1.04,3.53,1.26,10.29,24.5,,,,,,,3812.29589,,2.14,,,,898.61102,146.53999,88.97,967.88,1726.55004,5921.75,10088.88,
ARCA BIOPHARMA,ABIO,136.36,0,15.38,-8.33,,-.11,-.11,20140601,-1.94,20131231,-1.46,,0,0,,43.32,55.7,-134.51,,,-.13,-.16,-.15,-.94,-.53,-.55,3.38,0,100,-17.26,-.71,-2.8,0,2.28,8.42,2.26,1.31,1.39,112741.1,29.2,-22.44,2,2,0,0,12,34,0,0,0,0,0,0,0,21.01,93.75,0,0,1.5,16.92,0,0,0,,,,,,0,15.57999,.92,0,-50.61,-50.63,-75.658,1,11.27999,11.28,16.26,0,0,0,,-47.69,,1.51,,,,,,,,,,-65.33201,14.60249,0,0,-107.66717,-134.51,-60.41666,-6.91,-6.93,-6.93,-6.92601,-6.90601,0,,
ABM INDUSTRIES,ABM,,-.93,-17.5,0,-1.43,.33,.33,20140401,1.52,20131031,1.47,-2.22,0,0,0,4.77,9.35,-6.01,8,3.45,.45,.31,.55,1.48,1.59,1.79,30.6,0,50,-9.41,-4.95,1.29,1.65,.95,33.14,29.43,24.15,25.9,174101.59,1450.48,-15.08,6,3,0,0,139,3,0,0,0,50,0,0,3,56,134.15,-3.6,314.86999,508.51998,864.63,1016.78997,0,672.52001,2.29949,,1.69,7.1468,.02,0,917.5,16.84,-.6,6.59,9.02,7.1507,2.33,.37778,1.7,1.81,,25.804,.6,3.6596,3.89,.3,1.54,9.82,2.03,14.45,16.26,17.62,1298.052,5035.50195,8.77,11.84,4.16079,362.6195,2.53,2.39,,-6.01,16.49089,145.397,72.9,112.44999,125.33999,185.72999,4313.41992,4809.28,
ABIOMED INC,ABMD,-40,-65.44,-300,0,-31.25,-.04,-.04,20140601,.29,20140331,.19,0,-50.71,-28.19,0,-63.06,-21.62,-27.6,22.67,,.02,.05,.02,.17,.11,.45,29.9,0,50,-5.27,20.05,.2,-1.32,1.72,58.74,30.03,18.64,25.33,275130.84,1011.35,-11.2,8,4,12.5,7.95,19,55,0,0,0,37.5,0,1,3,39.93,53.33,0,0,30.40999,117.95999,37.99,13.93999,24.35,.96587,2.62639,3.88,8.3266,.04,0,168.35,4.27,-79.13,4.53,4.53,-3.18161,2.25,2.61986,3.42,4.39,0,0,0,,3.75,5.33,5.94,70.77,10.43,56.71,236.41,133.32,49.817,207.893,22.01,16.14,-2.73671,144.47871,0,0,-51.03904,-27.6,-51.03265,14.251,7.34999,8.52999,8.52999,11.02999,37.31999,183.64,
ARBOR RLTY TRST,ABR,39.13,10,92.86,23.08,40.1,.27,.23,20140601,.4,20131231,.5,0,-22.73,-10,,51.25,-32.2,132.92,,,.14,.09,.09,.54,.61,.54,8.38,0,50,4.2,-2.25,-2.25,-1.7,1.24,46.94,7.46,6.48,6.94,109460.45,347.94,-2.32,2,1,0,-100,168,17,0,0,0,50,0,0,1,50.14,112.5,0,1119.66003,23.12,1639.15002,0,0,1523.79003,.05334,,30.16,.06644,.21,67.65,369.94,7.72,-30.77,1.92,8.18,-1.5278,2,4.98961,70.9,91.61,3.24,72.44899,.5,,1.61,3.41,.9,13.19,,12.85,11.47,13.88,,,-3.17,-11.14,-1.11241,173.972,3.02,7.49,-12.615,132.92,-1.53489,25.863,21.17,21.73999,21.73999,25.86,54.09999,99.03,
ABBOTT LABS,ABT,111.11,.58,5.88,17.14,7.72,.54,.54,20140601,2.01,20131231,2.08,0,0,-1.34,-1.09,11.99,-60.36,-40.34,11.11,-9.33,.51,.7,.6,2.01,2.25,2.5,46.1,0,66.67,10.18,6.64,-1.7,.43,.4,91.54,43.09,32.93,42.23,4199916,63426.89,3.28,15,10,0,3.83,85,3,0,0,0,33.33,0,0,5,1501.94,109.09,.13,3388,9507,19247,15507,2693,3986,.51271,3.61929,14.95,5.5211,.12,0,25267,15.78,0,11.88,13.55,17.90999,1.83,1.32197,1.74,1.85,.14,12.55399,.56,-19.842,7.66,2.91,2.68,13.3,1.69,16.91,18.76,20.3,5634.86523,22440.66406,-5.8,-45.21,11.137,5766.08056,2.92,2.08,-54.302,-40.34,-56.80028,4908,2576,2521,2678,4397,10040,21848,
AUTOBYTEL INC,ABTL,106.25,-9.84,60,33.33,38.51,.07999,.08,20140601,.31,20131231,.31,-11.11,-33.33,-5,,-11.29,106.67,2279.41,,64.54,.05,.08,.09,.28,.28,.47,16.5,0,100,-44.22,-30.65,-30.31,1.08,1.13,20.02,18.63,5.89,8.44,194263.41,75.89,-47.71,2,2,0,0,108,1,0,0,0,0,0,0,0,8.99,65.38,0,9.25,12.90999,37.13,15.42,0,14.17,1.1085,,3.26,6.1858,.49,0,64.81999,7.56,-15,4.36,5.45,-5.97791,1,1.77846,2.88,2.71,.28,21.957,0,,3.62,.8,1.12,15.19,,17.77,30.69,27.23,26.559,105.82499,12.52,17.3,-4.6439,37.94599,0,0,2502.52221,2279.41,2663.76806,4.94999,38.13999,3.07999,3.07999,4.94999,47.90999,78.36,
BARRICK GOLD CP,ABX,123.38,-.56,0,5.26,2.34,.14,.14,20140601,2.51,20131231,1.29,5.88,8.52,.59,0,-71.63,-34.29,72.04,2,.23,.14,.19,.17,2.55,.71,1.15,20.4,0,11.11,7.83,15.07,-.47,1.66,.23,61.92,21.23,15.4,19.01,7428660,22140.38,1.08,18,2,5.56,0,128,89,0,0,0,83.33,0,1,15,1164.67,29.78,-10.15,12901,2884,6212,6155,2679,385,.2878,2.5597,12.57,27.40299,-.83,0,16001,13.73,6.62,4.69,8.59,10.30599,2.94,1.09153,1.23,2.87,.81,44.78499,.5,-7.65571,3.62,2.02,1.38,5.15,13.35,16.55,26.7,14.74,2471.10693,10220.11328,9.44,-14,8.1639,1476.02514,1.51,1.05,-1213.45923,72.04,-1826.76575,4301,-10366,-9467,-8810,-7078,7243,12511,
ABENGOA YIELD,ABY,,,,,,-.17001,-.17,20140301,.67,20131231,,,,-21.73,,-111.19,,,,,,.3,-.01,,-.08,1.32,46,0,100,,,-7.22,6.01,,49.15,40.38,34.52,37.4,367803.69,2992,,3,3,0,-12.5,228,10,-.25,0,0,0,0,0,0,80,,,,,,,,,,,,,.25,,,23.73,,,,,1.5,,,3.05,1.29,56.381,0,,,,1.58,,,28.44,,,,360.17999,,,,1496,,0,,,,,52.59999,,,,,210.9,
