Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
KOHLS CORP,KSS,4.31,0,5.61,-3.23,-.37,1.12999,1.13,4.05,20140131,4.1,-6.9,.33,.02,.18,.02107,4.77,.74,1.28,16.42,49.09,95.45,1.21,-.76,3,207,9.06,2805523,204.67,62,12666.9,1.07,.05,.87,1.7,.05,4.04,1.66,4.07,5.78,11.11,27.78,NYSE,61.11,1.96,61.89,62.5,0,0,-.06,11,19031,889,1404,1742,-9.83773,-10.61,1778,-11.53062,2.52,1.66,16.33699,1.39999,2631,12087,8.18,-2.88,15.1,14.36,12.96,7.45,1.31,2.21,844.4602,6,9.8864,7.34509,14.73,.05,4.6,,.51827,5.86,107.92,6.4,1.89,-1.29,2.31,19039.96679,4507.39697,77.36,-10.61,.52,.67,.81,2.8636,1.30359,0,3874,0,5292,2736,4722,0,5978,28.02,44.65999,18,
KANSAS CITY SOU,KSU,4.71,0,3.42,7.14,.82,1.21,1.21,3.98,20131231,4.39,.8,.26,-.02,.73,.00296,5.47,1.39,.58,11.11,91.12,82.13,0,.27,9,152,-3.81,679326,110.34,119.29,13142.24,1.17,.02,1.25,1.21,.02,4.04,-10.33,4.97,0,10,60,NYSE,30,2.7,119.11,125.2,0,0,0,15.75,2369.3,351.39999,551.59997,632.20001,-6.86457,51.35,662.70001,-15.95667,.94,.41,,.86,855.5,965.79998,8.76,19.16,27.13,25.31,21.78,19.81,1.61,3.43,1877.46301,6.61,6.2637,4.78879,13.09,.15,19.43,12.18999,.85245,41.14,113.74,18.23,.97,5.84,11.21,2582.052,667.13299,103.4,51.35,1.12,5.27,.48,7.7916,.34018,198.3,121.3,0,942.40002,730.59997,1856.90002,6.09999,3670.5,34.77,32.53099,10,
KT CORP,KT,1.1,,,,,,,2.09,20131231,,,0,0,,,1.27,.74,1.87,15.02,13.24,100,,,4,136,17.42,258271.84,522.22,18.9,9118,,,,,,1.35,9.46,3.56,0,50,0,NYSE,50,3,17.46,17.46,0,0,0,,22133.25,-80.72001,-35.11001,560.59002,-108.16021,-295.66,3250.3601,-145.30271,1.72,3.84,-9.4543,.30008,3891.66992,6266.87011,-5.96,-7.93,,15.87,13.69,2.81,,.77,9117.99511,-3.7,2.832,1.9326,-10.09,0,-5.32,5.9748,.3616,,,-18.22,.89,-3.54,14.36,17199.41015,,,-295.66,.83,.41,.8,10.35,.69638,4965,638.30999,3626.82006,9449.36035,10635.94042,8019.68994,0,12164.70019,22.66,44.58,2,
KRATOS DEFENSE,KTOS,-.8,0,93.33,18.18,52.88,-.01,-.01,.16,20131231,-.02,,0,0,0,-.30703,.17,1.21,-4.6,-14.39,6.42,16.28,0,0,12,65,-10.94,369050.59,57.75,9.5,394.99,-.15,3.58,.02,.15,.99,.17,-16.98,-12.53,0,0,25,NSDQ,75,1.75,6.84,9,0,0,0,6.5,950.6,-37.20001,-31.9,31.79999,67.48252,27.96,63.4,65.57107,0,0,,0,86.09999,710.59997,-.11,-69.81,,,40.24,6.15,,1.66,131.66333,-.08,1.2223,.91466,-.36,-.04,-.11,3.39359,.3498,-12.92,100,-602.08,1.61,-1.92,32.81,937.22497,244.425,-200,27.96,1.42,.44,2.8,8.427,.7414,267.89999,74.59999,666.29998,430.29998,251,643.40002,0,295.79998,4.13,73.65599,4,
K2M GRP HLDGS,KTWO,-1.27,0,8.57,-8.82,,-.32,-.32,-1.37,20131231,,,0,0,0,-.06728,-.66,,-3.13,-8.22,13.63,0,0,0,6,20,,110623.9,37.12,21.33,505.93,-.35,-.1,-.31,-.34,-.14,,,-5.54,0,0,0,NSDQ,100,1,13.63,17.47,0,0,0,20,157.58,-37.913,,,,,,,0,,,0,,,,,,,,,,1.83,168.64399,,,,,-.24,,,,,,7.3,3.21,,,181.90199,44.76399,96.88,,,,0,,,,,,,,,,,7.46,0,5,
KUBOTA CORP ADR,KUBTY,5.12,0,,,,1.38999,1.39,5.13,20140331,5.24,,-1.54,-1.35,,,5.77,.99,.68,5.77,63.17,52.29,,,1,176,-9.45,20450.35,249.95,98.5,18921.14,,,,,,4.98,-15.59,6.42,0,0,0,OTC,100,1,75.7,87.13,0,0,0,7.6,14758.54,1424.10998,2112.92993,2127.92993,45.03614,44.56,1641.47998,,1.02,1.39,1.1934,.76858,2481.37011,10570.03027,10.39,44.51,14.45,14.78,13.12,11.53,1.95,1.89,18921.13867,6.54,6.72429,4.23629,13.75,.1,8.73,2.50929,.55981,35.17,,-.19,1.72,4.46,12.26,,,,44.56,1.3,1.25,,3.6782,.74866,5317.35009,2997.6499,346.27999,12339.61035,7189.22998,3155.97998,0,10006.12988,40.03,23.978,1,
KURARAY CO U-AD,KURRY,3.03,0,,,,.81999,.82,2.78,20140331,3.07,,,0,,,,.72,-.03,-7.52,32.15,52.72,,,8,110,2.94,277.9,127.62,,4647.96,,,,,,2.46,-4.04,-5.53,0,0,100,OTC,0,3,36.42,40.25,0,0,0,5,4014.42,285.32998,442.69,451.76998,-6.86448,-10.98,661.52697,-14.70759,0,0,,0,791.29998,2778.42993,7.38,-1.07,11.86,12.02,,7.03,2.4,1.06,4647.95703,5.77,,,8.17,.07,8.49,4.88049,1.38107,,,8.99,2.52,8.03,,,,,-10.98,2.4,1.1,.12,3.18029,.67988,880.13,860.52001,555.32,2935.93994,865.47998,506.66,0,4392.7998,34.33,10.48799,1,
KVH INDUSTRIES,KVHI,.1,,0,-40,-45.83,.05,.05,.3,20131231,.05,,0,0,0,,.6,1.22,-2.35,-11.8,11.66,0,0,0,5,106,-10.51,36489.4,15.9,17,185.43,.05,,.05,.12,,.43,-16.58,-7.61,0,0,0,NSDQ,100,1,11.66,14.33,0,0,0,,162.29,4.53,6.67999,7.30999,26.53632,-100.59,10.52299,-79.09801,0,0,,0,13.3,96.56999,.47,25,233.2,116.6,19.43,17.3,,1.57,185.429,.39,2.8787,2.44749,.61,.03,.46,5.6057,2.12563,-3.58,55.56,-66.67,3.57,18.36,14.21,172.44999,45.70999,100,-100.59,3.06,1.18,.31,4.9512,.85525,27.54,18.25,33.25999,108.38999,29.45,37.09,0,116.45999,7.45,23.575,1,
KENNEDY-WILSON,KW,-.09,0,522.22,436.36,269.23,.37999,.38,-.21,20131231,.64,,0,0,0,-3.49245,-.67,.8,-1.77,-9.38,18.12,71.41,0,0,10,48,9.84,279370.66,94.96,33.67,2320.73,-.09,-.5,-.22,-.16,-.62,-.27,2.4,-6.25,0,0,25,NYSE,75,1.5,24.44,26.97,0,0,0,8,121.2,-6.40001,16.5,68.19999,-252.38097,898.65,11.69999,94.83627,1.47,.88,33.59099,.28,86.59999,7.9,2.32,48.78,38.19,,,171.22,,.8,773.57501,2.08,.91093,.82148,3.91,-.05,33.23,6.93009,1.90746,,372.22,57.14,3.79,89.21,19.76,297.84698,98.665,-58.77,898.65,2.04,11.25,.81,,.0625,16.6,0,23.89999,251.6,123.19999,449,0,818.90002,30.48,44.875,4,
KAWASAKI HEAVY,KWHIY,,0,,,,.12999,.13,.9,20140331,.93,,,,,,,1.16,4.98,3.62,13.82,44.29,,,,,-4.07,1948.85,417.97,,6700.11,,,,,,,-10.57,4.84,0,0,100,OTC,0,3,16.03,18.81,0,0,0,5,13536.16,375.04998,595.70001,634.46997,.42843,-1.4,744.77197,-10.3963,0,0,,0,1002.10998,11079.41015,6.36,13.92,17.24,,,9,,1.83,,2.5,5.0573,2.01839,11.22,.03,2.81,3.2381,.15218,19.02,,,1.26,-1.29,-9.68,14728.33984,,,-1.4,.69,.48,,2.2969,.89218,4145.68994,4450.37988,167.72,9772.19042,7728.47021,3405.84008,0,3659.97998,8.76,48.20199,1,
