Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
AGILENT TECH,A,3.06,0,5.41,0,3.38,.77999,.78,2.88,20131031,2.98,0,.1,-.04,-.26,.00282,3.37,1.64,-1.61,-2.18,49.95,64.03,-.68,-.12,1,96,-.37,1576401.38,333.51,64,19003.57,.74,.01,.89,.78,.04,2.84,-7.12,-1.5,-18.18,0,22.22,NYSE,77.78,1.44,56.98,60.93,0,0,0,10.2,6782,724,859,966,-37.20729,-26.23,1367,-29.61501,.93,.46,,.46,1338,3247,12.43,-7.69,19.12,18.6,16.92,13.79,1.82,3.37,2111.50805,9.39,13.94799,9.40719,18.23,.11,14.55,7.78539,1.88389,24.35,110.29,6.36,3.06,-1.11,9.35,7008.35986,1831.42895,114.53,-26.23,2.45,2.76,.39,3.0232,.64534,899,1066,3963,4983,1602,2699,0,5289,16.92,27.88599,9,
ALCOA INC,AA,.62,0,38.46,80,42.11,.18,.18,.33,20131231,.42,,-.17,0,0,.14062,.9,1.74,-2.85,6.08,7.86,83.23,-4.16,0,35,29,47.69,16278040,1176.32,15.73,18468.27,.13,.21,.18,.16,.28,.35,37.68,-5.36,0,6.67,46.67,NYSE,46.67,2.23,15.7,17.28,0,0,0,7,23032,-2285,-1816,-1363,-1296.33509,-1925.58,3510,-1161.78858,.76,1.11,0,.11999,1790,19286,2.13,37.5,37.38,25.39,17.52,4.78,3.63,1.26,1420.63623,1.3,1.28649,.83306,3.26,-.1,2.09,11.39299,.40065,-14.15,160.61,87.41,1.26,-2.82,4.55,22745.35937,5664.85888,98.15,-1925.58,.7,.82,.52,6.31209,.62076,1818,2705,3415,6969,6105,7607,55,13467,12.5,34.10699,15,
AAC TECH HLDGS,AACAY,3.36,0,15.94,,,.64999,.65,3.41,20131231,3.35,,-.98,-2.33,1.77,,4.06,.61,-4.92,-12.59,38.93,60.53,0,-5.26,35,88,16.01,992,122.8,,6975.04,.71,,.9,1.15,,3.53,8.15,-8.16,0,100,0,OTC,0,4,56.8,68.45,0,0,0,15,1316.07,415.54,458.05999,459.91,49.06729,29.86,492.07199,,2.31,1.69,39.19699,.89471,532.96997,749.35998,34.85,49.56,16.95,16.91,13.99,14.18,1.13,5.44,6975.04003,25.38,,,34.91,.32,31.46,3.50559,.88618,,126.76,-1.47,2.17,31.99,,1491.45996,401.1,,29.86,1.86,5.33,,5.51749,.80668,419.63,134.36999,34.29999,937.63,432.89999,2.27999,0,1281.77001,10.44,.17756,1,
AMER AIRLINES,AAL,5.35,0,2.06,8,,1.98,1.98,11.56,20131231,,-2.29,3.37,-.67,-3.31,.0404,6.75,,-6.98,-19.45,24.78,53.36,1.4,-1.76,9,140,39.92,8574862,720.1,50.04,25441.24,1.94,.05,1.75,1.09,.13,2.63,30.44,-9.62,0,0,25,NSDQ,75,1.58,35.33,44.55,0,0,0,35.55,26743,-1834,-2180,-1324,2.2388,-282.29,2264,-81.50808,1.13,,,0,-304,19805,20.17,,,6.6,5.23,11.8,.19,6.23,3180.15527,6.34,-121.464,-3.87801,,-.07,7.03,20.63899,.85115,,,-53.69,.99,7.6,9.21,42958.19921,11215.42382,88.32,-282.29,.96,.72,3.72,26.993,.90211,1560,1012,6397,14323,13806,15353,0,-2731,5.67,78.819,12,
AARONS INC,AAN,1.69,0,2.78,0,1.56,.37,.37,1.86,20131231,1.6,,0,0,0,.02439,2.26,1.37,-2.59,-30.95,24.79,0,0,0,5,183,-15.68,714165.44,72.31,33.67,1792.59,.36,.03,.38,.41,.1,1.86,-21.4,-2.78,0,0,57.14,NYSE,42.86,2.14,24.79,35.9,0,0,0,14.75,2234.63,120.66,184.96,190.57,-30.27046,-36.35,827.50201,-29.32397,.34,.25,13.951,.07199,875.66998,361.89001,8.23,-8.82,15.49,14.67,10.96,2.28,.99,1.51,256.08428,5.97,11.93799,8.36369,10.02,.05,5.06,35,.73263,8.86,93.93,-9.14,2.28,.54,6.89,2685.15209,695.54699,101.54,-36.35,.86,.76,.52,.39188,1.17929,68.68,869.71997,242.71,1337.31994,544.5,142.69999,0,1139.95996,16.46,34.00899,7,
APPLIED OPTOELE,AAOI,.6,0,140,,,.11999,.12,-.1,20131231,.17,,0,0,0,.04217,1.48,,-4.31,-26.74,9.96,40.89,31.25,0,1,78,13.92,226002.55,14.81,28.4,253.17,.05,.08,.2,.25,.04,.05,6.2,-12.67,0,0,0,NSDQ,100,1,17.1,27.42,0,0,0,19.67,78.42,-1.4,-1.4,-.28001,-48.93617,216.69,2.43899,,0,,,0,3.11999,55.38999,2.6,9.09,100.59,28.66,11.55,88.54,1.46,2.26,84.38866,1.8,,,4.25,-.02,2.18,4.642,.92829,,393.34,696.67,2.64,23.66,,132.94999,36.09999,163.89,216.69,1.49,2.48,0,3.03539,.82415,22.07999,19.6,1.80999,77.93,39.04999,8.92,0,63.06999,7.56,.05364,5,
AAON INC,AAON,,,7.69,,,.2,.2,.65,20131231,.7,,,,,,,1.24,-3.62,-21.71,16.58,19.75,,,,,-16.24,168283.84,55.01,,981.41,.14,,,,,,-21.92,-4.45,0,0,100,NSDQ,0,3,17.84,22.96,0,0,0,,321.14,37.54,56.29,56.29,36.80757,20.18,49.047,33.9984,.97,1.18,3.6716,.11111,69.38999,231.33999,23.36,31.08,25.49,,,20.05,,5.51,,17.43,19.81399,14.128,23.36,.12,11.9,7.11089,1.13849,11.03,,,2.86,5.95,8.53,,,,20.18,2.24,2.96,0,6.86689,1.4648,40.13,32.13999,0,113.62,36.31999,0,0,164.1,3.23,0,1,
ADVANCE AUTO PT,AAP,7.71,0,3.48,4.17,8.1,2.07999,2.08,5.67,20131231,6.75,2.67,.53,-.18,-.28,.00754,8.65,.65,-4.65,-4.02,79.79,84.31,1.5,.23,6,31,16.66,583687.31,72.96,146.38,9419.95,2.01,.03,1.87,1.5,.04,5.44,8.75,-5.1,3.16,0,52.94,NYSE,47.06,2.09,129.12,138.3,0,0,0,18.69,6493.81,391.75,626.39001,663,1.05243,11.98,625.25402,11.10241,.19,.37,0,.23999,870.78997,3241.65991,16.63,8.62,19.13,16.75,14.92,15.04,.9,5.19,724.61145,7.51,23.06999,9.5221,30.66,.06,6.01,18.788,.41784,16.74,126.01,35.94,1.25,4.65,5.93,9858.4707,2286.59008,89.66,11.98,.52,1.14,.99,1.35739,1.24979,277.58999,2556.55004,249.69999,3989.37988,2764.78002,1052.66003,0,1516.19995,24.87,49.768,17,
APPLE INC,AAPL,6.31,-1.03,4.92,13.81,6.71,1.27999,1.28,5.68,20130930,6.19,1.57,1.49,-.02,1.08,.00598,7.04,.89,1.76,9.75,66.77,98.19,-.21,-.07,1,135,28.07,68284848,5987.87,112.13,614594.69,1.22,.03,1.27,2.34,.05,5.63,19.39,1.74,5.3,0,18.18,NSDQ,81.82,1.52,102.64,103.3,0,0,-.04,12.77,170910,37037,50155,50155,-11.25249,2.14,43794,-4.95312,1.83,.86,,1.6286,56912,106606,26.85,-9.96,16.58,16.27,14.59,14.9,1.27,5.12,30729.73437,17.92,34.618,22.704,31.2,.22,21.64,9.0774,1.16544,40.94,107.87,11.09,1.47,9.2,38.22,180299.625,39378.90625,99.45,2.14,1.64,3.45,.24,60.06,.82791,20641,1764,5756,73286,43658,16960,0,123549,20.06,19.357,33,
AMER ASSETS TR,AAT,1.6,0,2.63,0,1.96,.38999,.39,1.54,20131231,1.57,,0,0,0,.0051,1.7,.95,-1.25,-4.9,30.51,51.33,2.63,0,9,214,5.66,136205.66,42.62,37.5,1415.24,.38,.03,.41,.41,.04,1.53,-1.5,-4.79,0,0,40,NYSE,60,1.9,33.21,35.77,0,0,0,3.55,255.06,22.04999,22.59,80.61,-56.82397,-96.43,85.91999,-77.59424,2.65,3.02,3.83629,.85,151.30999,68.59999,.08,14.07,21.15,20.76,19.51,15.63,5.86,1.89,353.811,.07,.3443,.27496,.19,.09,.53,6.5004,1.37636,16.72,103.85,3.9,2.91,8.32,21.63,258.04501,,103.85,-96.43,2.32,5.53,1.43,,.1376,39.81999,0,0,97.93,42.22,1045.17004,0,686.57,17.59,58.79399,5,
ANGLO AMER -PLC,AAUKY,.88,-5.43,,,,,,1.03,20131231,,,-1.3,-1.12,,.03994,1.14,1.41,-5.82,-8.34,10.1,40.37,,,62,119,6.98,108178.7,2793.23,19.34,32541.14,,,,,,.93,-.27,-10.59,0,16.67,66.67,OTC,16.67,3,11.65,13.94,0,0,0,9.76,29342,426,1700,2284,169.3811,,5311,,3.22,1.66,30.218,.38499,4922,26935,,-8.04,,13.16,10.22,6.12,1.35,.85,16270.57128,,,,,.01,,,.96024,,,-14.08,2.15,2.02,,28179,,,,1.36,,.46,5.54279,,3351,4789,4083,16159,8351,15740,0,37364,13.76,31.517,6,
ADV OIL&GAS LTD,AAV,,,,,,.12999,.13,.06,20131231,.23,,,,,,,1.79,-11.39,-24.77,3.6,39.65,,,,,14.75,401266.19,169.36,6.94,843.43,,,,,,,6.97,-20.06,0,0,0,NYSE,100,1,4.98,7.08,0,0,0,,259.93,2.51999,4.65999,30.04,102.82606,8.05,118.19699,17.13998,0,0,,0,138.03999,64.41,3.22,150,21.65,,,7.09,,.9,,2.81,-3.8888,-3.2054,3.84,.01,17.1,9.31509,.03423,,,,.19,-1.45,-7.29,,,,8.05,.35,3.59,.07,,.16437,31.1,0,0,34.5,99.3,343.66,0,1169.95996,5.55,6.48859,1,
AVALANCHE BIOT,AAVL,-.79,,,,,-2.27,-2.27,-.74,20131231,,0,,,,-.24712,-1.01,,3.51,,22.6,83.89,,,16,10,,116558.6,21.36,44,717.38,,-.09,-.15,-.23,-.28,,,14.76,,0,0,NSDQ,100,1,33.59,35.7,0,0,0,,.48,-5.27,-5.27,-5.2,-191.16024,,-5.23601,,0,,,0,-5.16,0,,,,,,,,,239.12733,,,,,-10.98,,,.69999,,,-7.21,13.26,1500,,1.715,.02999,6.61,,.71,,0,,,.008,0,0,.81999,1.15999,0,7.98999,-8.2,,1.2847,4,
ATLAS AIR WORLD,AAWW,3.17,,26,246.15,73.33,.62999,.63,3.78,20131231,3.87,,0,0,0,.04558,3.38,1.77,-3.96,-7.81,30.13,20.91,10.74,0,7,67,-16.87,243856.41,25.26,36.4,864.08,.5,.08,.8,1.28,.07,3.5,-22.5,2.15,13.6,16.67,33.33,NSDQ,50,2.12,34.21,49.64,0,0,0,,1656.9,93.83,117.81999,199.11999,-27.77864,-27.81,189.55499,-40.43712,0,0,,0,291.89999,410.35,3.23,-20.92,8.84,10.8,10.11,4.52,,.64,288.02532,2.5,6.43149,4.8941,7.39,.06,5.68,12.272,1.10706,-1.48,71.09,-16.22,1.12,.66,10.67,1772.56994,439,127.51,-27.81,1.42,.5,1.38,,.44106,132.14999,0,33.84999,593.95001,417.14001,1539.13,0,1322.11999,53.72,58.06499,6,
ALLIANCEBERNSTN,AB,1.83,0,7.14,-4.88,11.76,.44999,.45,1.78,20131231,1.84,0,.24,0,0,.00686,2.11,1.3,-.66,4.49,19.5,93.46,-4.76,0,36,155,27.55,171331.5,96.81,29.25,2635.22,.42,.01,.45,.55,.02,1.62,18.91,-.73,7.69,0,60,NYSE,40,2.4,27.22,27.76,0,0,0,7.65,2915.05,165.5,185.91,185.91,224.00155,122.9,173.509,67.63232,6.61,7.01,-1.17891,1.59,185.91,0,16.33,39.06,14.79,14.85,12.9,14.43,1.94,1.71,658.80572,16.29,16.58399,16.551,16.33,.06,8.33,,,-2.96,113.12,2.95,,6.52,-.64,2800.375,637.59997,100.56,122.9,,.9,0,,1.95539,0,0,0,0,0,0,0,1532.86999,15.95,0,5,
ABAXIS INC,ABAX,.94,0,10.53,-15,-12.71,.20999,.21,.63,20140331,.7,,0,0,0,.09506,1.11,.98,.25,13.25,32.4,95.27,0,0,66,30,30.29,130413.1,22.52,48.13,1174.12,.19,.04,.22,.23,.07,.66,21.45,10.1,11.11,0,83.33,NSDQ,16.67,2.67,52.13,53.11,0,0,-.33,16.67,171.87,14.18,21.94,21.94,-48.34245,-43.68,22.135,-48.34116,.77,.01,,0,29.88999,88.76,8.2,-48.78,74.47,55.34,47.07,52.39,3.32,5.94,234.82479,7.26,9.0677,8.02159,8.22,.08,8.9,5.6085,6.50118,6.89,122.22,49.52,7.46,-7.61,10.76,200.488,49.97299,104.76,-43.68,8.21,6.66,0,3.2392,.81646,28.82999,26.96999,1.62,165.41,16.86,.57999,0,193.91,8.78,.27827,6,
ABB LTD-ADR,ABB,1.2,0,-6.67,-27.27,-8.07,.28,.28,1.23,20131231,1.12,,2.06,0,1.47,.03333,1.49,1.42,-.52,-.17,22.27,14.52,0,0,13,51,-13.52,1580906.13,2314.74,25.11,53169.65,.3,.11,.32,.34,.02,1.22,-19.38,0,16.67,0,75,NYSE,25,2.5,22.97,27.09,0,0,0,11.6,41848,2787,4066,4456,3.06952,-8.96,4142,-.59635,3.35,2.55,13.22,.70408,5774,29856,9.73,4.24,20.51,19.14,15.45,12.84,1.65,2.93,17723.21679,5.37,14.43299,7.07569,13.66,.07,6.18,3.38649,.49625,.32,90.28,-2.44,1.56,6.39,7.61,41614.39843,10544.51953,116.07,-8.96,1.22,1.28,.42,4.7652,.86892,12146,6004,13967,26425,16675,7570,0,19208,7.85,29.454,4,
ABBVIE INC,ABBV,3.14,0,7.89,5.88,4.43,.81999,.82,3.14,20131231,3.18,1.3,0,-.32,0,.01014,4.01,1.85,-1.77,1.18,44.33,86.53,0,0,8,62,8.99,10470229,1591.7,66.17,91618.2,.76,.01,.77,.88,.07,3.15,1.61,3.25,0,0,28.57,NYSE,71.43,1.57,57.56,59.62,0,0,0,8.18,18790,4128,5332,5610,-21.74408,-19.2,5963,-22.7612,2.92,,,1.6,6507,4581,27.19,-6.27,18.1,18.32,14.34,15.36,2.24,17.54,15269.70019,17.83,42.43799,27.07399,114.15,.22,26.65,4.53079,1.72917,18.17,94.31,.05,2.82,2.23,3.81,19765.77929,4846.87011,94.31,-19.2,2.43,4.76,2.77,4.10099,.66895,4803,1150,8167,17848,6879,14292,0,4492,3.28,73.497,7,
AMERISOURCEBRGN,ABC,3.91,0,9.78,6,5.95,1.00999,1.01,3.14,20130930,3.66,,.23,0,.07,.00394,4.36,.67,-.42,5.22,60.91,91.16,.68,.5,19,94,9.22,1187326.75,224.38,79.64,17230.22,.92,.01,1.05,.96,.04,3.08,1.81,.09,0,0,42.86,NYSE,57.14,2,76.79,78.33,0,0,0,14.08,87959.16,433.70001,824.45001,898.34002,-39.67843,-52.45,910.31597,-21.12414,1.22,1.3,33.64699,1.04999,1069.13,85451.35156,23.06,10.95,20.98,19.63,17.61,19.48,1.39,8.67,1435.85144,4.31,16.919,4.4654,39.46,0,.76,18.05999,.09147,14.46,133.25,24.6,.97,10.65,6.51,118749.45312,30634.87695,104.23,-52.45,.5,.15,1,13.51099,5.64319,6051.91992,6981.49023,3499.70996,14393.65039,14870.62988,1396.59997,0,2319.73999,8.86,50.115,14,
AMERIS BANCORP,ABCB,1.62,,-20,-3.03,-16.38,.31999,.32,.9,20131231,1.09,,0,-1.22,0,.04125,1.99,1.13,-3.13,-.45,17.69,67.72,,0,16,141,4.17,61090.7,26.74,26.8,587.97,.4,.03,.44,.47,.05,1,-2.89,-7.72,0,0,20,NSDQ,80,1.6,21.99,24.04,0,0,0,,172.87,20.01,29.29999,31.03,38.66943,32.35,29.96999,60.80112,.91,.18,,0,37.38,8.39999,6.16,210.34,20.17,13.57,11.05,17.54,,1.61,146.99224,.81,2.28419,.27083,9.42,.12,14.63,.07837,.08691,50.66,170.19,80,.87,-7.73,2.94,214.033,57.83,138.28,32.35,.88,3.06,.48,.12558,.05516,2435.06005,67.26999,41.04999,2770.28002,3082.73999,250.02999,28,288.69,13.64,32.47299,5,
ADVISORY BOARD,ABCO,.91,0,10.53,13.04,1.35,.20999,.21,.91,20140331,.88,,0,0,0,.03885,1.11,-.18,-7.36,-14.5,44.33,0,,0,,,-30.38,294472,36.3,62.91,1609,.19,.05,.21,.22,.09,.87,-35.1,-11.55,8.34,0,21.43,NSDQ,78.57,1.57,44.33,69.55,0,0,0,17.4,520.6,24.75,49.88999,49.88999,5.76923,-18.77,66.78099,11.68614,0,0,,0,82.97,272.51998,10.14,-8.08,50.38,48.71,39.94,23.99,2.8,4.94,321.80038,3.21,14.96,4.5602,10.15,.05,6.1,1.2136,.103,14.67,90.43,0,1.02,15.47,21.78,597.75097,146.55099,99.05,-18.77,.89,2.98,0,,.52666,447.89001,0,163.16999,506.20001,566.10998,0,0,337.04998,8.97,0,14,
ALCENTRA CAPITL,ABDC,.88,,,,,,,,20131231,,,0,0,0,.06881,1.39,,.15,-9.33,12.41,45.08,0,0,9,129,,42132.15,13.52,15.25,183.83,.25,.04,.33,.34,0,,,.01,0,0,25,NSDQ,75,1.5,13.6,15.05,0,0,0,,,,,,,,,,5.24,,,0,,,,,,15.45,9.75,,,,45.95774,,,,,,,,,,,,.32,,,16.426,5.89799,,,,,,,,,,,,,,,,,0,4,
AMBEV-PR ADR,ABEV,.34,0,-14.29,0,-7.42,.05999,.06,.32,20131231,.33,,-1.64,-1.17,0,.03857,.36,.8,-2.59,-5.57,6.23,30.66,-14.29,0,10,111,-7.76,14198814,15667.95,7.75,106228.69,.07,,.08,.13,,.31,-14.01,-6.35,17.39,0,40,NYSE,60,1.9,6.78,8.02,0,0,-.4,5.53,14849.56,5292.14013,6437.62988,6437.62988,-3.40713,2.23,5833.75585,-2.45685,1.88,2.26,20.36,.12139,7412.7998,5312.50976,28.36,-5.88,20.8,20.06,18.83,18.2,3.63,5.64,21245.73828,19.06,28.31599,18.746,29.71,.36,32.17,7.20709,.71189,10.31,121.21,5.63,1.09,-8.51,5.66,16395.80273,,133.33,2.23,1.03,6.53,.04,4.19019,.59249,2537.30004,1302.97998,14092.38964,9541.05957,8007.87011,863.90997,0,20507.17968,1.2,4.08589,5,
ASBURY AUTO GRP,ABG,4.27,0,8.18,18.39,9.6,1.19,1.19,3.53,20131231,4.01,,0,0,0,.02983,4.75,1.68,-2.92,-7.09,45.42,71.66,0,0,4,231,19.95,279087.66,30.34,67.83,1956.04,1.1,.05,1.07,1.02,.04,3.47,11.82,-7.58,0,14.29,28.57,NYSE,57.14,2.19,64.46,71.99,0,0,0,16.16,5334.9,109.09999,165.3,219.3,32.72506,13.5,144.1,11.22554,0,0,,0,253.69999,4457.3999,11.92,33.71,16.08,15.1,13.58,13.85,.93,3.74,326.0065,6.59,7.9787,4.44029,24.61,.02,2.19,26.111,.12502,43.86,117.26,20.92,1.32,14.97,9.03,5823.82812,1498.94299,89.67,13.5,.41,.35,1.02,6.12389,3.0057,236.6,767.70001,54.5,1108.59997,834.20001,543.29998,0,490.6,17.25,50.408,7,
ABENGOA SA,ABGB,1.05,0,,,,,,1.14,20131231,,,0,0,,,2.5,,-1.41,1.79,10.43,85.4,,,,,80.92,17303.35,148.22,30.21,4043.52,,,,,,1.14,68.65,-5.01,0,0,100,NSDQ,0,3,27.28,30.16,0,0,0,19.49,10088.88,146.53999,88.97,967.88,,,898.61102,,2.02,,,0,1726.55004,5921.75,,,,25.98,10.91,3.74,1.33,1.11,4043.52392,,,,,.01,,,.52114,,,-7.89,.92,,,,,,,.77,,3.97,13.47,,2483.87988,439.64001,1118.56994,8074.02001,9883.0996,13909.01953,0,2514.46997,24.65,79.882,1,
ARCA BIOPHARMA,ABIO,-.52,,15.38,-8.33,,-.11,-.11,-1.94,20131231,-1.46,,0,0,0,-.08159,-.55,2.3,-1.56,-14.29,1.26,0,,0,39,10,-25,89769.8,21.01,3.38,26.47,-.13,,-.15,-.16,,-.94,-30.08,-11.89,0,0,0,NSDQ,100,1,1.26,2.26,0,0,0,,,-6.93,-6.93,-6.92601,-60.41666,-134.51,-6.91,-107.66717,0,0,,0,-6.90601,0,-50.63,55.7,,,,,,1.37,13.237,-47.69,-75.659,-65.33301,-50.63,,,,11.27999,,93.75,44.39,16.26,,,,,136.36,-134.51,11.28,,0,,,0,0,0,16.92,1.5,0,0,15.57999,.92,0,2,
ABM INDUSTRIES,ABM,1.6,0,4.44,-17.5,-1.6,.46999,.47,1.52,20131031,1.53,-1.89,1.01,.68,1.59,.04152,1.8,.96,-3.47,-1.88,24.57,43.62,0,-3.64,3,161,-6.65,245201.84,55.75,30.5,1487.89,.45,.03,.53,.32,0,1.48,-12.97,.72,-4.08,0,57.14,NYSE,42.86,2.43,26.69,29.43,0,0,0,8,4809.28,72.9,112.44999,125.33999,16.49089,-5.97,145.397,-6.01268,2.32,2.53,3.6596,.6,185.72999,4313.41992,6.86,9.35,17.44,16.65,14.81,10.12,2.08,1.57,495.96231,4.03,7.136,4.1543,9.28,.02,1.75,7.05859,.37778,3.62,110.42,5.48,1.78,11.84,8.98,5032.65478,1300.00903,112.77,-5.97,1.7,.3,.33,,2.3097,672.52001,0,1016.78997,864.63,508.51998,314.86999,0,917.5,17.03,24.63299,7,
ABIOMED INC,ABMD,.11,0,-300,0,-31.25,-.04,-.04,.29,20140331,.19,,0,0,0,.40223,.45,1.69,.36,-1.85,18.64,55.31,30,0,56,20,-6.73,194268.5,40.46,29.9,1009.15,.02,.41,.02,.05,.58,.17,-13.05,-3.3,0,12.5,37.5,NSDQ,50,2.25,24.94,30.03,0,0,0,22.67,183.64,7.34999,8.52999,8.52999,-51.03265,-27.6,14.251,-51.03904,0,0,,0,11.02999,37.31999,4.53,-21.62,131.26,232.77,55.84,69.68,10.27,5.85,144.16384,3.75,-3.18161,-2.73671,4.53,.04,3.88,8.3266,2.61986,,61.11,-63.06,4.39,16.14,22.01,207.893,49.7,-45.83,-27.6,3.42,5.32,0,2.62639,.96587,24.35,13.93999,37.99,117.95999,30.40999,0,0,168.35,4.27,0,8,
ARBOR RLTY TRST,ABR,.61,,92.86,23.08,40.1,.27,.27,.58,20131231,.69,,0,0,0,.01168,.54,1.22,-.73,-3.43,6.48,34.15,,0,48,189,1.5,113175.3,50.48,8.38,341.23,.14,0,.09,.09,.08,.54,-5.38,-2.87,0,0,50,NYSE,50,2,6.76,7.3,0,0,0,,99.03,21.17,21.73999,21.73999,-1.53489,132.92,25.863,-12.615,7.69,3.02,,.5,25.86,54.09999,1.92,-33.33,9.8,11.17,12.52,12.84,,.88,170.6125,1.61,-1.27971,-1.11241,8.18,.21,30.16,.06644,4.98961,,69.23,4.31,91.61,-11.14,-3.17,,,33.33,132.92,70.9,3.34,3.24,,.05334,1523.79003,0,0,1639.15002,23.12,1119.66003,67.65,369.94,7.72,72.44899,2,
ABBOTT LABS,ABT,2.25,0,5.88,17.14,7.72,.54,.54,2.01,20131231,2.08,,0,0,0,.00863,2.5,.4,-.93,3.21,33.01,88.86,-.07,0,4,62,10.88,3983579.5,1503.7,46.73,63907.21,.51,.01,.6,.7,.03,2.01,3.36,-.7,-.57,0,31.25,NYSE,68.75,1.84,42.5,43.69,0,0,.01,11.11,21848,2576,2521,2678,-56.80028,-40.34,4908,-54.302,2.07,2.92,-19.842,.56,4397,10040,11.88,-60.36,20.43,18.89,16.99,13.39,1.7,2.69,6390.72119,7.66,17.90999,11.137,13.55,.12,14.95,5.5211,1.32197,-9.33,109.09,11.94,1.85,-45.21,-5.8,22456.93554,5634.70312,111.11,-40.34,1.74,2.93,.14,3.61929,.51271,3986,2693,15507,19247,9507,3388,0,25267,15.78,12.55399,16,
AUTOBYTEL INC,ABTL,.28,,60,33.33,38.51,.07999,.08,.31,20131231,.31,11.11,1.05,1.82,0,.0505,.48,.98,-1.41,-37.33,7.12,11.21,20,5.88,1,72,-44.42,96910.15,9.03,16.5,75.93,.05,.16,.09,.08,0,.28,-48.18,.12,0,0,0,NSDQ,100,1,8.41,18.63,0,0,0,,78.36,38.13999,3.07999,3.07999,2663.76806,2279.41,4.94999,2502.52221,0,0,,0,4.94999,47.90999,4.36,106.67,27.13,30.04,17.52,15.14,,1.11,37.96699,3.62,-5.97791,-4.6439,5.45,.49,3.26,6.1858,1.77846,64.54,69.23,-9.68,2.71,17.3,12.52,106.5,26.559,112.5,2279.41,2.88,.8,.28,,1.1085,14.17,0,15.42,37.13,12.90999,9.25,0,64.81999,7.56,21.957,2,
BARRICK GOLD CP,ABX,.72,0,0,5.26,2.34,.14,.14,2.51,20131231,1.29,29.41,-4.82,.94,-.52,.14649,1.09,.24,-6.22,-14.57,15.4,2.4,-.55,-.53,87,117,-11.86,8961946,1165,19.94,18104.1,.14,.31,.17,.19,.37,2.55,-17.83,-14.85,3.77,5.56,77.78,NYSE,16.67,2.83,15.54,21.23,0,0,0,2,12511,-10366,-9467,-8810,-1826.76575,72.04,4301,-1213.45923,1.29,1.51,-7.65571,.5,-7078,7243,4.69,-34.29,12.05,21.62,14.21,4.21,10.81,1.13,1206.93994,3.62,10.30599,8.1639,8.59,-.83,12.57,27.40299,1.09153,.23,29.62,-71.37,2.87,-14,9.44,10224.75976,2471.10693,122.73,72.04,1.23,1.65,.81,2.5597,.2878,385,2679,6155,6212,2884,12901,0,16001,13.73,44.78499,18,
